rule_id,element,status,condition,title,personality,career,wealth,health,recommendation,score

FE001,Mộc,vượng,moc > 40,Mộc quá vượng,"Tư duy phát triển mạnh, thích học hỏi, có tinh thần vươn lên nhưng dễ cố chấp và thiếu cân bằng","Giáo dục, nghiên cứu, sáng tạo, phát triển con người","Có khả năng tạo tài lộc thông qua tri thức và sự phát triển lâu dài","Cần chú ý gan, gân cốt, sự căng thẳng do suy nghĩ nhiều","Cần bổ sung tính linh hoạt, cân bằng Kim để điều tiết Mộc",65

FE002,Mộc,suy,moc < 10,Mộc suy yếu,"Thiếu động lực phát triển, dễ mất phương hướng hoặc thiếu sự kiên trì","Cần môi trường hỗ trợ phát triển, phù hợp nghề sáng tạo và học thuật","Tài vận cần dựa vào hợp tác và tích lũy kỹ năng","Cần chú ý sức sống, khả năng hồi phục và sự cân bằng cơ thể","Nên tăng yếu tố Mộc thông qua học tập, môi trường xanh và phát triển bản thân",55

FE003,Hỏa,vượng,hoa > 40,Hỏa quá vượng,"Nhiệt tình, năng động, có sức ảnh hưởng nhưng dễ nóng vội và thiếu kiên nhẫn","Truyền thông, lãnh đạo, kinh doanh, sáng tạo","Khả năng tạo cơ hội nhanh nhưng cần kiểm soát rủi ro","Cần chú ý tim mạch, huyết áp, trạng thái căng thẳng","Cần bổ sung Thủy để điều hòa Hỏa khí",60

FE004,Hỏa,suy,hoa < 10,Hỏa suy yếu,"Thiếu sự chủ động, động lực và khả năng thể hiện bản thân","Phù hợp công việc cần đào tạo, truyền cảm hứng từng bước","Tài vận phát triển chậm nhưng ổn định khi có môi trường phù hợp","Cần chú ý năng lượng cơ thể và tinh thần","Nên tăng Hỏa thông qua vận động, ánh sáng và giao tiếp",58

FE005,Thổ,vượng,tho > 40,Thổ quá vượng,"Ổn định, đáng tin cậy, có trách nhiệm nhưng dễ bảo thủ và khó thay đổi","Quản lý, bất động sản, xây dựng, vận hành hệ thống","Có khả năng tích lũy tài sản nhưng tốc độ phát triển có thể chậm","Cần chú ý tiêu hóa, sự trì trệ trong cơ thể","Cần tăng Mộc để khai thông Thổ khí",70

FE006,Thổ,suy,tho < 10,Thổ suy yếu,"Thiếu sự ổn định, dễ dao động trước hoàn cảnh","Cần môi trường có tính tổ chức, kế hoạch rõ ràng","Tài vận cần xây dựng từng bước, tránh đầu tư thiếu nền tảng","Cần chú ý hệ tiêu hóa và khả năng duy trì sức khỏe","Nên tăng Thổ thông qua sự ổn định, kỷ luật và nền tảng",60

FE007,Kim,vượng,kim > 40,Kim quá vượng,"Quyết đoán, nguyên tắc, mạnh mẽ nhưng dễ cứng nhắc","Kỹ thuật, quản trị, pháp luật, tài chính","Có năng lực cạnh tranh cao nhưng cần tránh xung đột","Cần chú ý phổi, da, hệ hô hấp","Cần bổ sung Hỏa để luyện Kim thành dụng",72

FE008,Kim,suy,kim < 10,Kim suy yếu,"Thiếu quyết đoán, dễ bị ảnh hưởng bởi môi trường","Phù hợp lĩnh vực cần sáng tạo, hợp tác và hỗ trợ","Tài vận cần dựa trên quan hệ và kỹ năng chuyên môn","Cần chú ý sức đề kháng và khả năng thích nghi","Nên tăng Kim thông qua kỷ luật, nguyên tắc và rèn luyện",60

FE009,Thủy,vượng,thuy > 40,Thủy quá vượng,"Thông minh, linh hoạt, tư duy rộng nhưng dễ phân tán","Thương mại, giao tiếp, nghiên cứu, thông tin","Nhiều cơ hội nhưng cần tập trung để giữ tài","Cần chú ý thận, năng lượng và sự ổn định tinh thần","Cần tăng Thổ để kiểm soát dòng Thủy",68

FE010,Thủy,suy,thuy < 10,Thủy suy yếu,"Khó thích nghi, thiếu sự linh hoạt trước thay đổi","Phù hợp nghề cần tính ổn định và đào tạo chuyên môn","Tài vận phát triển tốt khi có kế hoạch rõ ràng","Cần chú ý cân bằng nước trong cơ thể và sức khỏe tổng thể","Nên tăng Thủy thông qua học hỏi, giao tiếp và mở rộng môi trường",58


FE011,Ngũ hành,cân bằng,all_elements_balance=true,Ngũ hành cân bằng,"Tính cách hài hòa, khả năng thích ứng cao, dễ duy trì sự ổn định","Có khả năng phát triển đa lĩnh vực","Tài vận ổn định nhờ biết cân bằng các nguồn lực","Thể trạng thường dễ duy trì cân bằng","Tiếp tục duy trì sự hài hòa giữa các yếu tố",90
