rule_id,dieu_kien,ket_qua,diem,cap_do,ghi_chu
DG001,Hồng Loan AND Thiên Hỷ,Hôn nhân rất tốt,40,Rất Cát,Tăng mạnh vận hôn nhân
DG002,Hồng Loan AND Cô Thần,Hôn nhân có mâu thuẫn,0,Trung Bình,Cát bị giảm
DG003,Hồng Loan AND Quả Tú,Hôn nhân trắc trở,-10,Hung,Giảm cát khí
DG004,Thiên Ất Quý Nhân AND Thiên Đức,Quý nhân cực mạnh,50,Đại Cát,Dễ gặp người giúp
DG005,Thiên Ất Quý Nhân AND Nguyệt Đức,Hóa giải hung sát,45,Đại Cát,Hung giảm mạnh
DG006,Văn Xương AND Quốc Ấn,Công danh thuận lợi,45,Đại Cát,Học hành thăng tiến
DG007,Văn Xương AND Lộc Thần,Học giỏi kiếm tiền tốt,40,Rất Cát,Phù hợp kinh doanh tri thức
DG008,Dịch Mã AND Lộc Thần,Phát tài phương xa,35,Rất Cát,Đi xa có lợi
DG009,Dịch Mã AND Kiếp Sát,Đi xa gặp rủi ro,-20,Hung,Cẩn thận tai nạn
DG010,Cô Thần AND Quả Tú,Cô độc mạnh,-40,Đại Hung,Rất bất lợi hôn nhân
DG011,Bạch Hổ AND Kiếp Sát,Tai nạn cao,-40,Đại Hung,Cần phòng thương tích
DG012,Thiên Đức AND Nguyệt Đức,Hóa giải hung tinh,30,Rất Cát,Giảm sát khí
DG013,Long Đức AND Thiên Đức,Phúc khí tăng,35,Rất Cát,Được âm đức trợ giúp
DG014,Long Đức AND Nguyệt Đức,May mắn nhiều,35,Rất Cát,Giảm trở ngại
DG015,Đào Hoa AND Hồng Loan,Duyên tình vượng,30,Rất Cát,Tăng sức hút
DG016,Đào Hoa AND Hàm Trì,Đào hoa mạnh,20,Cát,Dễ thu hút người khác giới
DG017,Đào Hoa AND Cô Thần,Đào hoa nhưng cô độc,-5,Trung Bình,Tình cảm khó bền
DG018,Quốc Ấn AND Thiên Ất,Công danh hiển đạt,45,Đại Cát,Có quý nhân nâng đỡ
DG019,Lộc Thần AND Thiên Ất,Tài vận hanh thông,40,Rất Cát,Thuận lợi kinh doanh
DG020,Có từ 3 Hung tinh trở lên,Hung khí mạnh,-50,Đại Hung,Cần ưu tiên hóa giải
