ma_nhom,ten_nhom,mo_ta,trang_thai,ghi_chu
DV001,Khởi vận,Tính tuổi bắt đầu Đại vận,ACTIVE,Tính theo tiết khí
DV002,Thuận vận,Xác định chiều đi thuận của Đại vận,ACTIVE,Nam Dương Nữ Âm
DV003,Nghịch vận,Xác định chiều đi nghịch của Đại vận,ACTIVE,Nam Âm Nữ Dương
DV004,Đại vận,Chu kỳ vận hạn 10 năm,ACTIVE,Can Chi Đại vận
DV005,Tiểu vận,Chu kỳ vận hạn từng năm,ACTIVE,Kết hợp Đại vận
DV006,Lưu niên,Can Chi của từng năm,ACTIVE,Lục Thập Hoa Giáp
DV007,Hợp Can,Đánh giá Thiên Can hợp hóa,ACTIVE,Hợp Can
DV008,Xung Can,Đánh giá Thiên Can xung khắc,ACTIVE,Xung Can
DV009,Hợp Chi,Đánh giá Địa Chi tam hợp lục hợp,ACTIVE,Hợp Chi
DV010,Xung Chi,Đánh giá Địa Chi lục xung,ACTIVE,Xung Chi
DV011,Hình Chi,Đánh giá quan hệ hình giữa các Chi,ACTIVE,Tam hình
DV012,Hại Chi,Đánh giá quan hệ hại giữa các Chi,ACTIVE,Lục hại
DV013,Phá Chi,Đánh giá quan hệ phá giữa các Chi,ACTIVE,Tương phá
DV014,Tự Hình,Đánh giá tự hình của Địa Chi,ACTIVE,Tự hình
DV015,Hợp Hóa,Đánh giá điều kiện hợp hóa thành Ngũ hành,ACTIVE,Có điều kiện hóa
DV016,Bán Hợp,Đánh giá bán hợp Chi,ACTIVE,Bán hợp
DV017,Bán Hội,Đánh giá bán hội phương cục,ACTIVE,Hội cục
DV018,Tam Hợp,Đánh giá Tam hợp cục,ACTIVE,Tam hợp
DV019,Tam Hội,Đánh giá Tam hội cục,ACTIVE,Tam hội
DV020,Xung Tuế,Đại vận xung Thái Tuế,ACTIVE,Ảnh hưởng theo năm
DV021,Phản Ngâm,Đánh giá Phản Ngâm,ACTIVE,Can Chi trùng xung
DV022,Phục Ngâm,Đánh giá Phục Ngâm,ACTIVE,Can Chi trùng lặp
DV023,Dụng Thần,Đại vận hỗ trợ Dụng thần,ACTIVE,Tăng điểm
DV024,Hỷ Thần,Đại vận hỗ trợ Hỷ thần,ACTIVE,Tăng điểm
DV025,Kỵ Thần,Đại vận kích hoạt Kỵ thần,ACTIVE,Giảm điểm
DV026,Thân Vượng,Đại vận làm Nhật chủ vượng hơn,ACTIVE,Điều chỉnh lực Nhật chủ
DV027,Thân Nhược,Đại vận làm Nhật chủ nhược hơn,ACTIVE,Điều chỉnh lực Nhật chủ
DV028,Tài Vận,Ảnh hưởng đến khả năng tài chính,ACTIVE,Liên kết Module 11
DV029,Sự Nghiệp,Ảnh hưởng đến công danh sự nghiệp,ACTIVE,Liên kết Module 14
DV030,Hôn Nhân,Ảnh hưởng đến hôn nhân tình cảm,ACTIVE,Liên kết Module 09
DV031,Tử Tức,Ảnh hưởng đến con cái,ACTIVE,Liên kết Module 10
DV032,Sức Khỏe,Ảnh hưởng đến sức khỏe,ACTIVE,Liên kết Module 13
DV033,Di Chuyển,Đánh giá thay đổi nơi ở công việc,ACTIVE,Thiên Mã Dịch Mã
DV034,Quý Nhân,Đại vận gặp Quý Nhân,ACTIVE,Tăng cát khí
DV035,Hung Sát,Đại vận gặp Hung sát,ACTIVE,Tăng rủi ro
DV036,Cát Vận,Đại vận cát lợi,ACTIVE,Tổng hợp điểm dương
DV037,Hung Vận,Đại vận bất lợi,ACTIVE,Tổng hợp điểm âm
DV038,Điểm Đại Vận,Tính điểm tổng Đại vận,ACTIVE,Rule Engine
DV039,Xếp Loại,Xếp loại Đại vận,ACTIVE,Xuất sắc đến Yếu
DV040,Báo Cáo,Sinh kết quả phân tích Đại vận,ACTIVE,Output cuối cùng
