rule_id,chi_so,dieu_kien,diem,uu_tien,trang_thai,ghi_chu
DG001,Tử Tức Tinh,Có và đắc lực,30,100,ACTIVE,Yếu tố quan trọng nhất
DG002,Thực Thần,Vượng và đắc lệnh,25,100,ACTIVE,Con cái đông đủ
DG003,Thực Thần,Có nhưng không đắc lệnh,15,90,ACTIVE,Tử tức trung bình
DG004,Thương Quan,Vượng vừa phải,10,80,ACTIVE,Tăng khả năng sinh dưỡng
DG005,Thương Quan,Quá vượng,-15,95,ACTIVE,Dễ bất lợi tử tức
DG006,Thời Chi,Không bị xung,20,100,ACTIVE,Cung tử tức ổn định
DG007,Thời Chi,Bị xung,-30,100,ACTIVE,Cung tử tức bất ổn
DG008,Thời Chi,Được hợp,20,95,ACTIVE,Hỗ trợ con cái
DG009,Thời Chi,Bị hình,-15,90,ACTIVE,Tăng mâu thuẫn
DG010,Thời Chi,Bị hại,-15,90,ACTIVE,Quan hệ giảm
DG011,Thời Chi,Bị phá,-15,90,ACTIVE,Biến động
DG012,Thân Vượng,Đắc lực,15,90,ACTIVE,Hỗ trợ sinh dưỡng
DG013,Thân Nhược,Quá yếu,-20,95,ACTIVE,Giảm khả năng tử tức
DG014,Dụng Thần,Hỗ trợ Cung Tử Tức,20,95,ACTIVE,Tăng cát khí
DG015,Hỷ Thần,Hỗ trợ,10,80,ACTIVE,Tăng may mắn
DG016,Kỵ Thần,Tác động Cung Tử Tức,-20,95,ACTIVE,Tăng bất lợi
DG017,Thiên Ất Quý Nhân,Kích hoạt,10,80,ACTIVE,Con gặp quý nhân
DG018,Văn Xương,Kích hoạt,15,80,ACTIVE,Con học giỏi
DG019,Quốc Ấn,Kích hoạt,15,80,ACTIVE,Con có công danh
DG020,Lộc Thần,Kích hoạt,15,80,ACTIVE,Con có tài lộc
DG021,Thiên Đức,Kích hoạt,10,80,ACTIVE,Hóa giải hung
DG022,Nguyệt Đức,Kích hoạt,10,80,ACTIVE,Hóa giải hung
DG023,Long Đức,Kích hoạt,10,75,ACTIVE,Tăng phúc khí
DG024,Hoa Cái,Kích hoạt,10,70,ACTIVE,Con có năng khiếu
DG025,Dịch Mã,Kích hoạt,10,70,ACTIVE,Con phát triển xa
DG026,Cô Thần,Kích hoạt,-20,100,ACTIVE,Quan hệ cha mẹ con cái xa cách
DG027,Quả Tú,Kích hoạt,-20,100,ACTIVE,Duyên con cái muộn
DG028,Kiếp Sát,Kích hoạt,-20,95,ACTIVE,Nhiều trở ngại
DG029,Bạch Hổ,Kích hoạt,-25,95,ACTIVE,Lưu ý sức khỏe con cái
DG030,Không Vong,Kích hoạt,-20,90,ACTIVE,Giảm cát khí
DG031,Hợp Thời Chi,Kích hoạt,20,90,ACTIVE,Tăng hòa hợp
DG032,Xung Thời Chi,Kích hoạt,-30,100,ACTIVE,Tăng xung đột
DG033,Hình Thời Chi,Kích hoạt,-15,90,ACTIVE,Quan hệ khó hòa hợp
DG034,Hại Thời Chi,Kích hoạt,-15,90,ACTIVE,Tăng tổn thương
DG035,Phá Thời Chi,Kích hoạt,-15,90,ACTIVE,Dễ biến động
DG036,Hồng Loan,Kích hoạt,5,60,ACTIVE,Hỗ trợ nhân duyên gia đình
DG037,Thiên Hỷ,Kích hoạt,5,60,ACTIVE,Tăng hỷ khí gia đạo
DG038,Cô Thần + Quả Tú,Đồng thời xuất hiện,-30,100,ACTIVE,Hung tăng mạnh
DG039,Thiên Đức + Nguyệt Đức,Đồng thời xuất hiện,20,90,ACTIVE,Tăng khả năng hóa giải
DG040,Tổng Hợp Tử Tức,Hoàn thành đánh giá,0,100,ACTIVE,Kết quả cuối cùng
