rule_id,element,condition,organ_relation,title,tendency,lifestyle,warning,recommendation,score

HE001,Mộc,moc_vuong=true,Can_Gan,Mộc khí quá vượng,"Năng lượng Mộc mạnh thường biểu hiện tính hoạt động cao, nhiều suy nghĩ, dễ căng thẳng khi mất cân bằng","Nên duy trì vận động, tiếp xúc thiên nhiên, giữ nhịp sinh hoạt ổn định","Cần chú ý trạng thái căng thẳng, cảm xúc và sự cân bằng cơ thể","Tăng yếu tố điều hòa, tránh áp lực kéo dài",70

HE002,Mộc,moc_suy=true,Can_Gan,Mộc khí suy yếu,"Thiếu Mộc thường liên quan đến xu hướng thiếu sinh khí, thiếu sự linh hoạt","Nên tăng vận động nhẹ, học hỏi, hoạt động ngoài trời","Cần chú ý khả năng thích nghi và trạng thái mệt mỏi","Bổ sung môi trường xanh và thói quen phát triển bản thân",65

HE003,Hỏa,hoa_vuong=true,Tim_Mach,Hỏa khí quá mạnh,"Năng lượng cao, nhiệt tình nhưng dễ quá tải khi mất cân bằng","Nên điều tiết cảm xúc, nghỉ ngơi hợp lý","Cần chú ý trạng thái nóng trong người, áp lực tinh thần","Tăng yếu tố Thủy để cân bằng, duy trì sự thư thái",70

HE004,Hỏa,hoa_suy=true,Tim_Mach,Hỏa khí suy yếu,"Thiếu Hỏa có thể biểu hiện xu hướng thiếu động lực và năng lượng","Nên tăng hoạt động thể chất, ánh sáng tự nhiên","Cần chú ý sự uể oải, thiếu hứng khởi","Tạo môi trường tích cực, vận động thường xuyên",65

HE005,Thổ,tho_vuong=true,Ti_Vi,Thổ khí quá mạnh,"Tính ổn định cao nhưng dễ tạo cảm giác trì trệ","Nên duy trì vận động và chế độ sinh hoạt điều độ","Cần chú ý sự chậm chạp, ít thay đổi thói quen","Tăng yếu tố Mộc để tạo sự lưu thông",72

HE006,Thổ,tho_suy=true,Ti_Vi,Thổ khí suy yếu,"Dễ thiếu sự ổn định và khả năng duy trì năng lượng","Nên chú trọng lịch sinh hoạt, ăn uống điều độ","Cần chú ý khả năng duy trì thể trạng","Xây dựng nền tảng sinh hoạt ổn định",65

HE007,Kim,kim_vuong=true,Phe_Phe,KIM khí quá mạnh,"Tính quyết đoán cao nhưng dễ tạo trạng thái căng cứng","Nên thư giãn, điều hòa cảm xúc","Cần chú ý sự căng thẳng và khả năng thích nghi","Tăng yếu tố Hỏa để điều hòa Kim khí",70

HE008,Kim,kim_suy=true,Phe_Phe,Kim khí suy yếu,"Có xu hướng thiếu tính ổn định trong nguyên tắc và sức bền","Nên rèn luyện tính kỷ luật và thói quen đều đặn","Cần chú ý sức đề kháng tổng thể","Tăng tính kỷ luật và môi trường có tổ chức",65

HE009,Thủy,thuy_vuong=true,Than_He_Bai_Tiet,Thủy khí quá mạnh,"Tư duy phong phú nhưng dễ suy nghĩ nhiều","Nên cân bằng giữa suy nghĩ và hành động","Cần chú ý trạng thái thiếu ổn định tinh thần","Tăng yếu tố Thổ để tạo sự cân bằng",72

HE010,Thủy,thuy_suy=true,Than_He_Bai_Tiet,Thủy khí suy yếu,"Khả năng thích nghi và phục hồi có thể cần được tăng cường","Nên duy trì nghỉ ngơi, học hỏi và kết nối","Cần chú ý năng lượng tổng thể","Tạo môi trường linh hoạt, cân bằng",65


HE011,Ngũ hành,ngu_hanh_can_bang=true,Tổng thể,Ngũ hành hài hòa,"Cơ thể và tinh thần có xu hướng cân bằng hơn khi các yếu tố hỗ trợ nhau","Duy trì lối sống điều độ","Không nên chủ quan, cần giữ thói quen tốt","Tiếp tục duy trì cân bằng Ngũ hành",90


HE012,Dụng thần,dung_than_duoc_tro=true,Tổng thể,Dụng thần hỗ trợ sức khỏe,"Khi môi trường sống phù hợp với Dụng thần, trạng thái cân bằng thường thuận lợi hơn","Ưu tiên môi trường, nghề nghiệp và sinh hoạt phù hợp","Tránh yếu tố làm tăng mất cân bằng","Điều chỉnh theo nguyên lý Dụng Thần",88


HE013,Kỵ thần,ky_than_tang=true,Tổng thể,Kỵ thần tăng mạnh,"Yếu tố mất cân bằng có thể tạo thêm áp lực cho tổng thể mệnh cục","Cần điều chỉnh môi trường sống và thói quen","Không nên để yếu tố bất lợi tăng kéo dài","Ưu tiên giảm tác động của Kỵ Thần",75
