rule_id,career_type,condition,title,ability,suitable_jobs,business_direction,risk,recommendation,score

CA001,Lãnh đạo,that_sat>0 AND chinh_quan>0,Năng lực lãnh đạo,"Có khả năng chịu trách nhiệm, quản lý con người, đưa ra quyết định trong môi trường áp lực","Quản lý doanh nghiệp, điều hành, tổ chức, chính quyền, quản trị cấp cao","Phù hợp xây dựng đội nhóm và hệ thống kinh doanh","Dễ ôm việc, áp lực quyền lực, cứng nhắc","Cần phát triển khả năng giao tiếp và phân quyền",90

CA002,Kinh doanh,thien_tai>0 OR chinh_tai>0,Duyên với kinh doanh,"Nhạy bén với cơ hội, hiểu giá trị vật chất và khả năng tổ chức nguồn lực","Thương mại, bán hàng, đầu tư, dịch vụ, tài chính","Phù hợp tự kinh doanh hoặc phát triển thương hiệu cá nhân","Dễ chạy theo lợi nhuận ngắn hạn","Cần xây dựng chiến lược dài hạn và quản trị dòng tiền",88

CA003,Tri thức,an_tinh_manh=true,Nghề nghiệp dựa vào tri thức,"Khả năng học hỏi, nghiên cứu, phân tích và truyền đạt kiến thức","Giáo dục, đào tạo, tư vấn, nghiên cứu, chuyên gia","Có thể phát triển mô hình tư vấn chuyên môn","Dễ thiên về lý thuyết, thiếu hành động","Cần kết hợp kiến thức với thực tế",85

CA004,Sáng tạo,thuong_quan_manh=true,Tư duy sáng tạo,"Khả năng đổi mới, nhìn vấn đề khác biệt, tạo sản phẩm mới","Marketing, nghệ thuật, thiết kế, truyền thông, sáng tạo nội dung","Phù hợp xây dựng sản phẩm độc đáo","Dễ xung đột môi trường quá khuôn mẫu","Cần duy trì kỷ luật để biến ý tưởng thành kết quả",82

CA005,Kỹ thuật,kim_vuong=true OR thuc_sat=true,Tư duy kỹ thuật,"Khả năng phân tích, logic, chính xác và xử lý vấn đề","Công nghệ, kỹ thuật, cơ khí, tài chính, pháp luật","Phù hợp lĩnh vực yêu cầu chuyên môn cao","Dễ quá nguyên tắc, thiếu linh hoạt","Cần tăng khả năng hợp tác và giao tiếp",84

CA006,Tư vấn,tan_hoa OR an_tinh_manh=true,Nghề tư vấn,"Có khả năng quan sát, phân tích tâm lý và đưa ra hướng dẫn","Phong thủy, Bát Tự, tâm lý, coaching, cố vấn chuyên môn","Phù hợp xây dựng thương hiệu cá nhân","Dễ suy nghĩ nhiều, hao năng lượng tinh thần","Cần xây dựng hệ thống kiến thức rõ ràng",90

CA007,Dịch vụ,thuc_than=true OR am_tinh=true,Năng lực phục vụ,"Có khả năng chăm sóc, hỗ trợ và tạo trải nghiệm cho khách hàng","Dịch vụ, chăm sóc sức khỏe, làm đẹp, nhà hàng, giáo dục","Phù hợp mô hình khách hàng lâu dài","Dễ chiều lòng người quá mức","Cần cân bằng giữa phục vụ và lợi nhuận",80

CA008,Tài chính,chinh_tai_manh=true,Năng lực quản lý tài chính,"Thực tế, cẩn thận, có khả năng quản lý nguồn lực","Kế toán, tài chính, ngân hàng, quản lý tài sản","Phù hợp tích lũy tài sản dài hạn","Dễ quá thận trọng, bỏ lỡ cơ hội","Cần học cách đầu tư có chiến lược",86

CA009,Truyền thông,binh_hoa OR thuc_than=true,Khả năng truyền đạt,"Có sức ảnh hưởng, khả năng biểu đạt và kết nối cộng đồng","Truyền thông, đào tạo, bán hàng, xây dựng thương hiệu","Phù hợp phát triển cá nhân trên nền tảng số","Dễ phân tán năng lượng","Cần tập trung một lĩnh vực chủ đạo",85

CA010,Bất động sản,tho_vuong=true OR tai_tinh_manh=true,Duyên với đất đai,"Khả năng xây dựng, tích lũy và quản lý tài sản hữu hình","Bất động sản, xây dựng, kiến trúc, đầu tư đất","Phù hợp tạo tài sản dài hạn","Dễ bị vốn lớn và chu kỳ thị trường ảnh hưởng","Cần quản trị rủi ro tài chính",87

CA011,Huyền học,thien_an=true AND thuc_than=true,Năng lực nghiên cứu huyền học,"Khả năng cảm nhận, nghiên cứu biểu tượng, tư duy chiều sâu","Phong thủy, Bát Tự, Dịch học, nghiên cứu tâm linh","Có thể xây dựng nghề chuyên gia tư vấn","Dễ xa rời thực tế nếu thiếu ứng dụng","Cần kết hợp lý luận với kinh nghiệm thực tế",88

CA012,Khởi nghiệp,ty_kiep_manh=true AND tai_tinh=true,Tố chất doanh nhân,"Tinh thần độc lập, thích thử thách, khả năng tự tạo cơ hội","Startup, kinh doanh cá nhân, xây dựng thương hiệu","Phù hợp tạo mô hình kinh doanh riêng","Dễ quyết định nhanh thiếu kiểm soát","Cần có cố vấn và hệ thống quản trị",85
