rule_id,than_sat,linh_vuc,muc_do,mau_giai_thich,goi_y
GT001,Thiên Ất Quý Nhân,Quý nhân,Rất Cát,"Mệnh có Thiên Ất Quý Nhân, thường gặp người giúp đỡ, dễ vượt qua khó khăn và được cấp trên hoặc quý nhân nâng đỡ.","Nên phát huy quan hệ xã hội và giữ chữ tín."
GT002,Văn Xương,Học nghiệp,Rất Cát,"Văn Xương chủ về trí tuệ, học vấn và khả năng nghiên cứu. Người có Văn Xương thường tiếp thu nhanh, có năng khiếu học tập.","Phù hợp nghề giáo dục, nghiên cứu, kỹ thuật."
GT003,Quốc Ấn,Công danh,Rất Cát,"Quốc Ấn chủ quyền chức và uy tín, thích hợp đảm nhiệm vị trí quản lý hoặc lãnh đạo.","Nên phát triển sự nghiệp theo hướng quản trị."
GT004,Lộc Thần,Tài vận,Rất Cát,"Lộc Thần chủ tài lộc ổn định, dễ tạo nguồn thu lâu dài.","Nên đầu tư dài hạn và tích lũy tài sản."
GT005,Hồng Loan,Hôn nhân,Cát,"Hồng Loan tăng duyên khác giới, thuận lợi về tình cảm và hôn nhân.","Nên nắm bắt cơ hội kết giao."
GT006,Thiên Hỷ,Hỷ sự,Cát,"Thiên Hỷ mang lại tin vui, cưới hỏi và các sự kiện tốt đẹp.","Thích hợp tiến hành việc lớn."
GT007,Đào Hoa,Tình cảm,Cát,"Đào Hoa giúp tăng sức hút và khả năng giao tiếp.","Cần giữ sự cân bằng trong các mối quan hệ."
GT008,Dịch Mã,Sự nghiệp,Cát,"Dịch Mã chủ thay đổi, đi xa, mở rộng cơ hội.","Xuất ngoại hoặc thay đổi môi trường có lợi."
GT009,Hoa Cái,Nghệ thuật,Cát,"Hoa Cái tăng khả năng sáng tạo, nghệ thuật và nghiên cứu tâm linh.","Phù hợp nghiên cứu chuyên sâu."
GT010,Cô Thần,Hôn nhân,Hung,"Cô Thần khiến nội tâm khép kín, khó chia sẻ cảm xúc.","Cần chủ động mở lòng với người thân."
GT011,Quả Tú,Hôn nhân,Hung,"Quả Tú dễ làm duyên tình muộn hoặc cô đơn.","Nên kết hôn đúng thời vận."
GT012,Kiếp Sát,Tai họa,Hung,"Kiếp Sát báo hiệu nhiều trở ngại và cạnh tranh.","Không nên đầu tư mạo hiểm."
GT013,Tai Sát,Tai nạn,Hung,"Tai Sát cảnh báo rủi ro bất ngờ.","Cẩn trọng khi đi xa và ký kết."
GT014,Bạch Hổ,Sức khỏe,Hung,"Bạch Hổ chủ thương tích hoặc phẫu thuật.","Nên chú ý sức khỏe và an toàn."
GT015,Thiên Đức,Phúc đức,Cát,"Thiên Đức giúp hóa giải nhiều hung tinh.","Nên tích đức và làm việc thiện."
GT016,Nguyệt Đức,Phúc đức,Cát,"Nguyệt Đức giảm nhẹ tai họa và tăng vận may.","Giữ tâm thiện để phát huy cát khí."
GT017,Long Đức,Phúc khí,Cát,"Long Đức tăng phúc khí và nhân duyên.","Có lợi cho phát triển lâu dài."
GT018,Thiên Khốc,Tâm lý,Hung,"Thiên Khốc khiến suy nghĩ nhiều và dễ buồn phiền.","Nên cân bằng cảm xúc."
GT019,Thiên Hư,Tâm lý,Hung,"Thiên Hư báo hiệu kỳ vọng không như ý.","Không nên quá bi quan."
