error_id,error_code,error_name,error_type,severity,http_status,retryable,status,description
ERR001,BTE0001,SUCCESS,System,INFO,200,false,ACTIVE,Thực thi thành công
ERR002,BTE1001,INVALID_INPUT,Validation,ERROR,400,false,ACTIVE,Dữ liệu đầu vào không hợp lệ
ERR003,BTE1002,MISSING_REQUIRED_FIELD,Validation,ERROR,400,false,ACTIVE,Thiếu trường dữ liệu bắt buộc
ERR004,BTE1003,INVALID_DATE,Validation,ERROR,400,false,ACTIVE,Ngày không hợp lệ
ERR005,BTE1004,INVALID_TIME,Validation,ERROR,400,false,ACTIVE,Giờ không hợp lệ
ERR006,BTE1005,INVALID_TIMEZONE,Validation,ERROR,400,false,ACTIVE,Múi giờ không hợp lệ
ERR007,BTE1006,DATE_OUT_OF_RANGE,Validation,ERROR,400,false,ACTIVE,Ngoài phạm vi năm hỗ trợ
ERR008,BTE2001,CONFIG_NOT_FOUND,Configuration,ERROR,500,false,ACTIVE,Không tìm thấy file cấu hình
ERR009,BTE2002,MAPPING_NOT_FOUND,Configuration,ERROR,500,false,ACTIVE,Không tìm thấy file Mapping
ERR010,BTE2003,FORMULA_NOT_FOUND,Configuration,ERROR,500,false,ACTIVE,Không tìm thấy file Công thức
ERR011,BTE2004,WORKFLOW_NOT_FOUND,Configuration,ERROR,500,false,ACTIVE,Không tìm thấy Workflow
ERR012,BTE3001,LUNAR_CONVERSION_FAILED,Processing,ERROR,500,true,ACTIVE,Lỗi chuyển đổi lịch âm
ERR013,BTE3002,CAN_CHI_CALCULATION_FAILED,Processing,ERROR,500,true,ACTIVE,Lỗi tính Can Chi
ERR014,BTE3003,SOLAR_TERM_CALCULATION_FAILED,Processing,ERROR,500,true,ACTIVE,Lỗi tính Tiết Khí
ERR015,BTE3004,NAP_AM_NOT_FOUND,Processing,ERROR,500,true,ACTIVE,Không tra được Nạp Âm
ERR016,BTE3005,EXPORT_FAILED,Processing,ERROR,500,true,ACTIVE,Xuất dữ liệu thất bại
ERR017,BTE9001,UNKNOWN_ERROR,System,FATAL,500,false,ACTIVE,Lỗi chưa xác định
ERR018,BTE9002,SYSTEM_EXCEPTION,System,FATAL,500,false,ACTIVE,Ngoại lệ hệ thống
ERR019,BTE9003,MODULE_NOT_AVAILABLE,System,FATAL,500,false,ACTIVE,Module phụ thuộc chưa sẵn sàng
ERR020,BTE9004,VERSION_MISMATCH,System,ERROR,500,false,ACTIVE,Không tương thích phiên bản module
