rule_id,category,condition,title,meaning,personality,career,wealth,relationship,recommendation,score

BA001,Thân Vượng,than_vuong=true,Thân Vượng mạnh,"Nhật Chủ có lực, khả năng gánh vác trách nhiệm và phát huy năng lực cá nhân cao","Ý chí mạnh, chủ động, thích tự quyết, có khả năng dẫn dắt","Phù hợp vai trò quản lý, kinh doanh, lĩnh vực cần bản lĩnh","Có khả năng tạo và kiểm soát nguồn lực tốt","Quan hệ cần học cách chia sẻ và lắng nghe","Phát huy năng lực nhưng tránh quá cứng rắn",90

BA002,Thân Nhược,than_nhuoc=true,Thân Nhược cần trợ lực,"Nhật Chủ yếu hơn so với môi trường Ngũ Hành, cần yếu tố hỗ trợ để phát triển","Tinh tế, biết thích nghi, nhưng dễ chịu ảnh hưởng bên ngoài","Phù hợp môi trường có hệ thống hỗ trợ, chuyên môn sâu","Tài vận phát triển tốt khi có nền tảng vững","Cần người đồng hành và môi trường phù hợp","Ưu tiên xây dựng năng lực trước khi mở rộng",85

BA003,Ngũ Hành Cân Bằng,ngu_hanh_balance=true,Mệnh cục cân bằng,"Các yếu tố trong mệnh có sự phối hợp tương đối hài hòa","Tính cách dễ thích nghi, khả năng điều hòa tốt","Có thể phát triển nhiều lĩnh vực","Tài vận ổn định theo từng giai đoạn","Quan hệ dễ duy trì sự cân bằng","Giữ sự ổn định và phát triển từng bước",95

BA004,Ngũ Hành Lệch,mot_hanh_qua_manh=true,Ngũ Hành thiên lệch,"Một yếu tố nổi bật tạo nên đặc điểm riêng của mệnh cục","Có cá tính rõ ràng, năng lực chuyên biệt","Cần chọn nghề phù hợp với hành hỗ trợ","Tài vận phụ thuộc vào việc cân bằng đúng hướng","Quan hệ chịu ảnh hưởng bởi tính cách đặc thù","Cần dùng Dụng Thần để điều chỉnh",75

BA005,Âm Dương Cân Bằng,am_duong_balance=true,Âm Dương hài hòa,"Khí chất bên trong và biểu hiện bên ngoài có sự cân đối","Dễ thích nghi, biết tiến biết lui","Có khả năng phối hợp nhiều môi trường","Tài vận thường ổn định","Quan hệ dễ tạo sự hài hòa","Duy trì trạng thái cân bằng",90

BA006,Dương Thịnh,duong_qua_vuong=true,Dương khí mạnh,"Năng lượng hướng ngoại, chủ động và hành động mạnh","Nhiệt tình, quyết đoán, thích cạnh tranh","Phù hợp môi trường cần hành động nhanh","Có khả năng tạo cơ hội nhưng dễ mạo hiểm","Cần học sự mềm mại trong quan hệ","Tăng khả năng lắng nghe và kiềm chế",75

BA007,Âm Thịnh,am_qua_vuong=true,Âm khí mạnh,"Nội lực sâu, thiên về suy nghĩ và cảm nhận","Thông minh, quan sát tốt, chiều sâu tư duy","Phù hợp nghiên cứu, chuyên môn, tư vấn","Tài vận đến từ tri thức và chuyên môn","Tình cảm sâu sắc nhưng dễ giữ trong lòng","Cần tăng tính chủ động và biểu đạt",75

BA008,Thân Tài Cân Bằng,than_tai_balance=true,Thân có khả năng gánh Tài,"Năng lực bản thân tương xứng với nguồn lực tài chính","Có khả năng quản lý tài nguyên","Phù hợp kinh doanh, đầu tư, quản trị","Dễ phát triển tài sản nếu đúng vận","Gia đình có thể trở thành động lực","Mở rộng có kế hoạch, tránh nóng vội",92

BA009,Thân Không Gánh Tài,tai_manh_than_yeu=true,Tài nhiều nhưng áp lực,"Cơ hội vật chất lớn hơn khả năng kiểm soát hiện tại","Dễ bị áp lực bởi trách nhiệm","Cần củng cố năng lực trước khi mở rộng","Có tiền nhưng khó giữ nếu thiếu nền tảng","Công việc có thể ảnh hưởng gia đình","Ưu tiên tăng nội lực trước cầu tài",70

BA010,Quan Ấn Tương Sinh,quan_an=true AND an_tinh=true,Quan Ấn tương sinh,"Cách phối hợp tạo nên năng lực quản lý, danh vị và tri thức","Có trách nhiệm, tư duy hệ thống","Phù hợp tổ chức lớn, quản lý, chuyên gia","Tài vận đến từ uy tín và vị trí","Quan hệ coi trọng sự ổn định","Phát triển con đường chuyên môn và uy tín",90

BA011,Thực Thần Sinh Tài,thuc_than=true AND tai_tinh=true,Thực Thần sinh Tài,"Khả năng tạo giá trị rồi chuyển hóa thành tài lộc","Sáng tạo, biết tận dụng năng lực cá nhân","Phù hợp kinh doanh sản phẩm, dịch vụ","Tài đến từ kỹ năng và sản phẩm","Quan hệ dễ tạo thiện cảm","Biến tài năng thành hệ thống kinh doanh",92

BA012,Thương Quan Kiến Quan,thuong_quan=true AND quan=true,Thương Quan gặp Quan,"Tư duy tự do gặp môi trường nguyên tắc có thể tạo xung đột","Thông minh, phản biện mạnh","Phù hợp môi trường sáng tạo hơn là quá khuôn mẫu","Tài vận phụ thuộc khả năng kiểm soát cá tính","Quan hệ dễ xảy ra tranh luận","Học cách kết hợp sáng tạo và kỷ luật",65

BA013,Cách Cục Thành,geju_complete=true,Cách cục thành công,"Các yếu tố trong mệnh phối hợp tạo thành hướng phát triển rõ","Năng lực phát huy đúng môi trường","Có con đường nghề nghiệp phù hợp","Tài vận dễ tăng khi thuận thế","Quan hệ được hỗ trợ","Đi đúng hướng mệnh cục để phát triển",95

BA014,Cách Cục Phá,geju_damage=true,Cách cục bị phá,"Các yếu tố xung đột làm giảm hiệu quả mệnh cục","Cần điều chỉnh chiến lược sống","Không nên cố đi ngược đặc tính mệnh","Tài vận cần thời gian xây dựng","Quan hệ cần sự bao dung","Ưu tiên hóa giải yếu tố bất lợi",70
