rule_id,wealth_type,condition,title,earning_style,money_ability,investment,risk,recommendation,score

WE001,Chính Tài,chinh_tai=true,Chính Tài khai mở,"Kiếm tiền bằng năng lực ổn định, nghề nghiệp chính, giá trị thực tế","Có khả năng quản lý thu nhập, tích lũy từng bước","Phù hợp tích lũy dài hạn, tài sản bền vững","Dễ quá thận trọng, bỏ lỡ cơ hội","Nên xây dựng nền tảng tài chính ổn định trước khi mở rộng",88

WE002,Chính Tài vượng,chinh_tai>2,Khả năng tích lũy tài sản,"Có duyên với nguồn thu ổn định và kế hoạch dài hạn","Giỏi quản lý tiền bạc, biết tiết kiệm","Phù hợp bất động sản, tài sản cố định, đầu tư an toàn","Dễ bảo thủ trong tài chính","Cần học cách sử dụng vốn hiệu quả hơn",90

WE003,Chính Tài suy,chinh_tai<1,Khả năng giữ tiền cần rèn luyện,"Thu nhập cần dựa vào kỹ năng và sự ổn định nghề nghiệp","Cần xây dựng thói quen quản lý tài chính","Không nên đầu tư quá mạo hiểm","Dễ thiếu kế hoạch tài chính","Cần tạo hệ thống quản lý tiền bạc",70

WE004,Thiên Tài mạnh,thien_tai>2,Thiên Tài phát triển,"Kiếm tiền thông qua cơ hội, thị trường, quan hệ và khả năng nắm bắt","Nhạy bén với cơ hội tài chính","Phù hợp kinh doanh, thương mại, đầu tư linh hoạt","Dễ chạy theo lợi nhuận nhanh, rủi ro cao","Cần kết hợp cơ hội với chiến lược dài hạn",85

WE005,Tài tinh gặp Thân Vượng,tai_tinh=true AND than_vuong=true,Thân mạnh gánh Tài,"Có khả năng chủ động tạo ra tài sản và kiểm soát dòng tiền","Năng lực kiếm tiền mạnh, chịu được áp lực tài chính","Có thể mở rộng kinh doanh, đầu tư","Dễ tham vọng quá mức","Cần kiểm soát tốc độ mở rộng",95

WE006,Tài tinh gặp Thân Nhược,tai_tinh=true AND than_nhuoc=true,Thân yếu khó gánh Tài,"Có cơ hội tài chính nhưng cần chuẩn bị năng lực trước khi mở rộng","Dễ gặp áp lực khi quản lý tiền lớn","Nên tích lũy năng lực và vốn trước đầu tư lớn","Dễ hao tài do quyết định vượt khả năng","Ưu tiên nâng cao bản thân trước khi cầu tài",75

WE007,Tài sinh Quan,tai_sinh_quan=true,Tài vận chuyển hóa thành địa vị,"Khả năng dùng tài nguyên tạo ra uy tín và vị trí","Có năng lực xây dựng hệ thống, doanh nghiệp","Phù hợp kinh doanh có tổ chức","Dễ gánh nhiều trách nhiệm","Cần cân bằng tiền bạc và quyền lực",90

WE008,Thực Thần sinh Tài,thuc_than=true AND tai_tinh=true,Khả năng tạo tài bằng năng lực,"Tài lộc đến từ sản phẩm, kỹ năng, sáng tạo","Có khả năng biến kiến thức thành thu nhập","Phù hợp kinh doanh dịch vụ, sản phẩm cá nhân","Dễ an toàn quá mức","Cần thương mại hóa năng lực",92

WE009,Thương Quan sinh Tài,thuong_quan=true AND tai_tinh=true,Tài lộc từ sáng tạo,"Khả năng kiếm tiền nhờ tư duy mới, sự khác biệt","Có năng lực tạo mô hình kinh doanh mới","Phù hợp công nghệ, truyền thông, sáng tạo","Dễ phá vỡ nguyên tắc tài chính","Cần kết hợp sáng tạo với quản trị",88

WE010,Tỷ Kiếp đoạt Tài,ty_kiep=true AND tai_tinh=true,Tài vận có cạnh tranh,"Có khả năng tạo tiền nhưng dễ chia sẻ hoặc hao hụt vì quan hệ","Cần chú trọng quản lý dòng tiền","Không nên đầu tư theo cảm tính hoặc bạn bè rủ rê","Dễ hao tài vì hợp tác thiếu rõ ràng","Cần nguyên tắc tài chính và hợp đồng minh bạch",65

WE011,Tài gặp Mộ,tai_mu=true,Tài khí cần khai mở,"Có tài sản tiềm ẩn nhưng cần thời điểm và phương pháp phù hợp","Có khả năng tích lũy tài sản lâu dài","Phù hợp đầu tư dài hạn","Dễ chậm phát triển trong giai đoạn đầu","Cần kiên trì xây dựng nền móng",78

WE012,Dụng Thần là Tài,dung_than=tai,Tài là chìa khóa phát triển,"Con đường phát triển gắn với việc khai thác năng lực tạo tài","Khi đi đúng hướng dễ đạt hiệu quả cao","Phù hợp phát triển nghề nghiệp liên quan tài chính, kinh doanh","Sai hướng có thể gây hao tổn","Ưu tiên môi trường và nghề nghiệp hỗ trợ Tài",93
