knowledge_unit_id,title,summary,purpose,kind,domain,scenarios,primary_intent,secondary_intent,condition,evidence_kind,required_evidence,required_interpretation,narrative_targets,consultation_goals,decision_posture,action_category,risk_category,opportunity_category,primary_usage,secondary_usage,priority,confidence,confidence_requirement,commercial_value,ethics_flags,signal_refs,ref_ids,paired_unit_ids,classical_text,modern_interpretation,version,review_status,author,author_notes,reviewers,wave_id,capability_id,decision_ids,executive_summary_support,recommendation_support,decision_support,traceability
KU-CN-CA-000001,Career Work Direction,Chỉ họ nghề / hướng việc hợp cấu trúc theo Dụng thần — không đoán chức danh cứng.,Giúp Career Selection trả lời họ nghề nào hợp lá số.,Consultation,CK-CA,CS-CA;default,Làm rõ họ nghề hợp cấu trúc,Khung mở Career Selection Assessment,analysis.has_useful_god = true AND analysis.has_day_master,career_direction,identity;explanation,useful_god;summary;strength,executive_summary;reasoning;conclusion,clarify_work_direction,prepare,useful_god_alignment,,,Executive Summary;Interpretation,Portal;Report;Capability API,98,0.91,0.65,C,none,useful_god;day_master;pattern_label,REF-000006;REF-000007,KU-AC-CA-000001,Thuận dụng thần thì việc dễ hợp; nghịch dụng thì dễ hao lực (diễn giải hiện đại).,"Họ nghề hợp bạn: ưu tiên các nhóm việc nuôi Dụng thần {useful_god_label} trong khung {pattern_label}. Hãy nghĩ theo họ nghề (chuyên môn; điều phối; phục vụ; sáng tạo; vận hành) chứ không ép một chức danh duy nhất. Mọi lựa chọn nghề sau này phải trả lời được: việc này có nuôi {useful_god_label} không?",1.1.0,approved,BTE Knowledge Author,"CAP-D1-CA-SEL Q1. Sprint C completion. No job-title prophecy.",,W-D01-C-SEL,CAP-D1-CA-SEL,D-CA-SEL,yes,soft,yes,KU-CN-CA-000001→career_direction→exec|reasoning→career.selection.assess
KU-CN-CA-000010,Career Environment Fit,Môi trường làm việc nên ưu tiên / tránh — nhịp; áp lực; tự chủ.,Giúp Career Selection khuyến nghị môi trường làm việc.,Consultation,CK-CA,CS-CA;default,Làm rõ môi trường làm việc hợp,Hỗ trợ chọn chỗ làm,analysis.has_useful_god = true,career_environment,identity;explanation,useful_god;strength;summary,executive_summary;reasoning;impact,clarify_work_environment,prepare,useful_god_alignment,,,Executive Summary;Interpretation,Portal;Report;Capability API,97,0.90,0.65,C,none,useful_god;strength_band;pattern_label,REF-000006;REF-000005,KU-CN-CA-000001,Chỗ thuận khí thì dễ bền; chỗ nghịch thì dễ mòn (diễn giải hiện đại).,"Môi trường nên ưu tiên: nơi cho phép bạn nuôi Dụng thần {useful_god_label} với nhịp gắn mức thân {strength_band_label}. Ưu tiên chỗ có rõ trách nhiệm và khoảng tự chủ vừa sức; tránh môi trường ép bạn sống lâu ở phần kỵ hoặc quá tải liên tục. Đây là khuyến nghị môi trường — không phải lời hứa thu nhập.",1.0.0,approved,BTE Knowledge Author,"CAP-D1-CA-SEL Q2.",,W-D01-C-SEL,CAP-D1-CA-SEL,D-CA-SEL,yes,soft,yes,KU-CN-CA-000010→career_environment→exec|impact→career.selection.assess
KU-CN-CA-000011,Career Organizational Role,Vai trò tổ chức nên nghiêng về đâu: chuyên môn sâu; điều phối; hỗ trợ; hay tạo nhịp.,Giúp Career Selection khuyến nghị vai trò tổ chức.,Consultation,CK-CA,CS-CA;default,Làm rõ vai trò tổ chức hợp,Hỗ trợ chọn vị trí trong tổ chức,analysis.has_useful_god = true AND analysis.has_pattern_or_strength_band,career_org_role,identity;explanation,useful_god;pattern;summary,executive_summary;reasoning;conclusion,clarify_org_role,prepare,useful_god_alignment,,,Executive Summary;Interpretation,Portal;Report;Capability API,96,0.89,0.65,C,none,useful_god;pattern_label;strength_band,REF-000003;REF-000006,KU-CN-CA-000001,Ngôi đúng thì khí thuận; ngôi lệch thì dễ bức (diễn giải hiện đại).,"Vai trò tổ chức nên nghiêng: vị trí giúp bạn phát huy Dụng thần {useful_god_label} trong cấu trúc {pattern_label}. Hãy chọn vai trò có đầu ra rõ (chuyên môn; điều phối; chăm sóc khách; vận hành) thay vì chức danh mơ hồ. Nếu mức thân {strength_band_label} đang mỏng lực; ưu tiên vai trò hẹp và rõ trước khi ôm nhiều đầu mối.",1.0.0,approved,BTE Knowledge Author,"CAP-D1-CA-SEL Q3. Not full Management Assessment.",,W-D01-C-SEL,CAP-D1-CA-SEL,D-CA-SEL,yes,soft,yes,KU-CN-CA-000011→career_org_role→exec|conclusion→career.selection.assess
KU-CN-CA-000012,Leadership vs Specialist Posture,Tư thế nghề: nghiêng lãnh đạo ảnh hưởng hay chuyên gia chuyên sâu — trong phạm vi Career Selection.,Giúp trả lời lãnh đạo hay chuyên môn cho Career Selection.,Consultation,CK-CA,CS-CA;default,Làm rõ tư thế lãnh đạo vs chuyên gia,Chỉ trong Career Selection Assessment,analysis.has_useful_god = true AND analysis.has_pattern_or_strength_band,career_lead_vs_spec,identity;explanation,useful_god;strength;summary,executive_summary;impact;reasoning,clarify_lead_vs_specialist,prepare,useful_god_alignment,,,Executive Summary;Interpretation,Portal;Report;Capability API,95,0.88,0.65,C,none,useful_god;pattern_label;strength_band,REF-000003;REF-000006,KU-CN-CA-000011,Quyền và thuật mỗi thứ một chỗ (diễn giải hiện đại).,"Lãnh đạo hay chuyên gia: với Dụng thần {useful_god_label} và cấu trúc {pattern_label}; hãy chọn tư thế tạo giá trị rõ hơn — dẫn nhịp/ảnh hưởng hoặc chuyên sâu. Không bắt buộc chức danh quản lý. Nếu thân {strength_band_label} đang mỏng lực; ưu tiên chuyên gia phạm vi hẹp trước khi mở quyền. Đây là tư thế Career Selection — không phải bài Leadership Assessment đầy đủ.",1.0.0,approved,BTE Knowledge Author,"CAP-D1-CA-SEL Q4 only. Do not expand CAP-D1-CA-LED.",,W-D01-C-SEL,CAP-D1-CA-SEL,D-CA-SEL,yes,soft,yes,KU-CN-CA-000012→career_lead_vs_spec→exec|impact→career.selection.assess
KU-CN-CA-000013,Employment vs Entrepreneurship Posture,Tư thế làm thuê ổn định hay độc lập / làm chủ nhẹ — trong Career Selection.,Giúp Career Selection trả lời làm thuê hay doanh nghiệp nhẹ.,Consultation,CK-CA,CS-CA;default,Làm rõ tư thế làm thuê vs độc lập,Chỉ trong Career Selection Assessment,analysis.has_useful_god = true,career_path_mode,identity;explanation,useful_god;summary,executive_summary;recommendation;conclusion,clarify_employment_vs_enterprise,prepare,useful_god_priority,,,Executive Summary;Recommendation,Portal;Report;Capability API,95,0.89,0.65,C,no_guaranteed_returns,useful_god;priority_counsel,REF-000006;REF-000007,KU-CN-CA-000001,Lập thân thuận dụng; chưa vững thì giữ mực (diễn giải hiện đại).,"Làm thuê hay độc lập: neo vào Dụng thần {useful_god_label}. Nếu độc lập nuôi đúng trục này; hãy giữ việc chính và thử một kênh nhỏ trước. Nếu chưa rõ; ưu tiên môi trường thuê có nuôi {useful_god_label}. Không cam kết doanh thu — chỉ chọn tư thế nghề.",1.0.0,approved,BTE Knowledge Author,"CAP-D1-CA-SEL Q5. Not Entrepreneurship Assessment / Partnership packs.",,W-D01-C-SEL,CAP-D1-CA-SEL,D-CA-SEL,yes,yes,yes,KU-CN-CA-000013→career_path_mode→exec|rec→career.selection.assess
KU-CN-CA-000014,Career Competitive Advantages,Thế mạnh nghề tự nhiên suy từ cấu trúc — dùng cho Career Selection.,Giúp giải thích lợi thế cạnh tranh nghề nghiệp.,Consultation,CK-CA,CS-CA;default,Làm rõ lợi thế nghề,Gắn strength thương mại vào nghề,analysis.has_useful_god = true,career_advantage,strength;identity,strength;useful_god;summary,executive_summary;observation;reasoning,name_career_advantages,prepare,,,role_fit,Executive Summary;Interpretation,Portal;Report;Capability API,94,0.90,0.60,C,none,useful_god;strength_band;pattern_label,REF-000005;REF-000006,KU-ST-001,Có thế thì dùng đúng chỗ; khoe quá hóa hại (diễn giải hiện đại).,"Lợi thế nghề của bạn: khả năng gắn với cấu trúc {pattern_label} và mức thân {strength_band_label} khi đi đúng Dụng thần {useful_god_label}. Hãy đặt lợi thế vào việc tạo kết quả lặp lại được — không phóng đại thành bảo chứng thăng tiến. Đây là điểm mạnh nghề để chọn hướng; không phải danh sách kỹ năng cứng.",1.0.0,approved,BTE Knowledge Author,"CAP-D1-CA-SEL Q6. Complements Wave 1.1 ST; does not replace it.",,W-D01-C-SEL,CAP-D1-CA-SEL,D-CA-SEL,yes,soft,yes,KU-CN-CA-000014→career_advantage→exec|reasoning→career.selection.assess
KU-RK-CA-000010,Career Selection Primary Risks,Rủi ro nghề chính khi chọn lệch hướng / quá tải / nuôi phần kỵ.,Đặt tên rủi ro Career Selection để không dừng ở lời khuyên vui.,Risk,CK-CA,CS-CA;default,Chỉ rủi ro chọn nghề,Đi với mitigation bắt buộc,analysis.has_useful_god = true,career_risk,identity;weakness,useful_god;strength;summary,executive_summary;warning;conclusion,name_career_risks,prepare,,career_misalignment;overload,,Warning;Executive Summary,Portal;Report;Capability API,93,0.88,0.60,C,none,useful_god;weakness_signal_label;strength_band,REF-000005;REF-000006,KU-MT-CA-000010,Lệch dụng thì dễ mòn lực (diễn giải hiện đại).,"Rủi ro nghề chính: chọn việc lệch Dụng thần {useful_god_label}; ôm vai trò quá rộng khi thân {strength_band_label}; hoặc ở lâu trong môi trường nuôi phần kỵ. Rủi ro này làm hao nhịp và làm mờ hướng nghề — cần mitigation ngay; không dừng ở cảnh báo.",1.0.0,approved,BTE Knowledge Author,"CAP-D1-CA-SEL Q7. Pair MT required.",,W-D01-C-SEL,CAP-D1-CA-SEL,D-CA-SEL,yes,soft,yes,KU-RK-CA-000010→career_risk→warning→career.selection.assess
KU-MT-CA-000010,Career Selection Mitigation,Giảm rủi ro chọn nghề: giữ biên; thử nhỏ; tránh kỵ.,Không bao giờ để Career Selection dừng ở weakness/risk.,Mitigation,CK-CA,CS-CA;default,Giảm rủi ro chọn nghề,Đi với risk bắt buộc,analysis.has_useful_god = true,career_mitigation,identity;weakness,useful_god;summary,warning;recommendation;conclusion,mitigate_career_risks,prepare,,career_misalignment;overload,,Warning;Recommendation,Portal;Report;Capability API,93,0.88,0.60,C,none,useful_god;priority_counsel,REF-000006;REF-000007,KU-RK-CA-000010,Giữ mực rồi mới mở (diễn giải hiện đại).,"Giảm rủi ro nghề: (1) giữ biên trách nhiệm nếu đang mỏng lực; (2) thử hướng nuôi {useful_god_label} quy mô nhỏ 2–4 tuần trước khi cam kết lớn; (3) giảm việc rõ ràng đang nuôi phần kỵ. Mitigation xong mới mở rộng hướng nghề.",1.0.0,approved,BTE Knowledge Author,"CAP-D1-CA-SEL Q7 mitigation / acceptance mitigation.",,W-D01-C-SEL,CAP-D1-CA-SEL,D-CA-SEL,no,yes,yes,KU-MT-CA-000010→career_mitigation→warning|rec→career.selection.assess
KU-CN-CA-000015,Career Development Priorities,Ưu tiên phát triển năng lực gắn hướng nghề đã chọn.,Trả lời nên phát triển gì trước trong Career Selection.,Consultation,CK-CA,CS-CA;CS-ED;default,Ưu tiên phát triển nghề,Cầu nối sang hành động 90 ngày,analysis.has_useful_god = true,career_development,identity;explanation,useful_god;summary,executive_summary;reasoning;recommendation,set_development_priorities,prepare,useful_god_priority,,,Executive Summary;Recommendation,Portal;Report;Capability API,92,0.90,0.65,C,none,useful_god;priority_counsel,REF-000006;REF-000007,KU-AC-CA-000001,Luyện đúng chỗ thì khí tụ (diễn giải hiện đại).,"Ưu tiên phát triển: một năng lực cốt lõi nuôi Dụng thần {useful_god_label} và một thói quen nghề giúp giữ mực (quản nhịp; phạm vi; chất lượng). Đừng học lan man. Ưu tiên này phải nối thẳng sang kế hoạch 90 ngày.",1.0.0,approved,BTE Knowledge Author,"CAP-D1-CA-SEL Q8.",,W-D01-C-SEL,CAP-D1-CA-SEL,D-CA-SEL;D-CA-DEV,yes,yes,yes,KU-CN-CA-000015→career_development→exec|rec→career.selection.assess
KU-CN-CA-000016,Career Decision Timing Light,Hướng dẫn nhịp quyết định nghề khi có đủ tín hiệu — không phải lịch vận đầy đủ.,Trả lời timing nhẹ cho Career Selection khi evidence đủ.,Consultation,CK-CA,CS-CA;default,Nhịp quyết định nghề nhẹ,Chỉ khi có Dụng thần,analysis.has_useful_god = true,career_timing,identity;explanation,useful_god;summary,impact;recommendation;conclusion,guide_career_timing,prepare,useful_god_priority,,,Recommendation;Impact,Portal;Report;Capability API,90,0.86,0.65,C,no_guaranteed_returns,useful_god;strength_band,REF-000006;REF-000007,KU-AC-CA-000001,Đúng lúc thì dễ; cưỡng cầu thì hao (diễn giải hiện đại).,"Nhịp quyết định nghề: với Dụng thần {useful_god_label} đã rõ; hãy quyết những bước nhỏ (học; thử vai; đổi phạm vi) trong 90 ngày tới. Các bước lớn (nghỉ việc; đổi ngành) chỉ nên mở sau khi đã thử đúng hướng và giữ được mực theo mức thân {strength_band_label}. Đây là timing tư vấn nhẹ — không phải luận đại vận đầy đủ.",1.0.0,approved,BTE Knowledge Author,"CAP-D1-CA-SEL Q9. Not full Decision Timing / Luck capability.",,W-D01-C-SEL,CAP-D1-CA-SEL,D-CA-SEL,soft,yes,yes,KU-CN-CA-000016→career_timing→impact|rec→career.selection.assess
