ma_tai_san,ten_tai_san,nhom_tai_san,ngu_hanh,muc_rui_ro,bien_dong,thanh_khoan,ky_vong_loi_nhuan,thoi_gian_dau_tu,yeu_cau_kinh_nghiem,phu_hop_ho_so,phu_hop_dung_than,phu_hop_hy_than,khong_phu_hop_ky_than,uu_diem,nhuoc_diem,dieu_kien_khuyen_nghi,trang_thai
TS001,Bất động sản,Tai_San_Huu_Hinh,Tho,Trung_Binh,Thap,Trung_Binh,Cao,Dai_Han,Trung_Binh,Can_Bang|Tang_Truong,Tho,Hoa,Moc,Tăng giá dài hạn tạo dòng tiền,Thanh khoản thấp,Đại vận tốt và Tài khố vững,active
TS002,Cổ phiếu,Tai_San_Tai_Chinh,Kim,Cao,Cao,Cao,Rat_Cao,Trung_Han,Cao,Mao_Hiem|Tang_Truong,Kim,Thuy,Tho,Lợi nhuận cao thanh khoản tốt,Biến động mạnh,Năng lực đầu tư cao,active
TS003,Trái phiếu,Tai_San_Tai_Chinh,Tho,Thap,Thap,Cao,Trung_Binh,Trung_Han,Thap,Than_Trong|Can_Bang,Tho,Kim,Hoa,Ổn định ít biến động,Lợi nhuận thấp,Giai đoạn phòng thủ,active
TS004,Tiền gửi ngân hàng,Tien_Mat,Thuy,Rat_Thap,Rat_Thap,Rat_Cao,Thap,Ngan_Han,Thap,Rat_Than_Trong,Thuy,Kim,Hoa,An toàn tuyệt đối,Lợi nhuận thấp,Cần bảo toàn vốn,active
TS005,Tiền mặt,Tien_Mat,Thuy,Rat_Thap,Rat_Thap,Rat_Cao,Khong,Ngan_Han,Thap,Rat_Than_Trong,Thuy,Kim,Hoa,Thanh khoản tối đa,Mất giá do lạm phát,Thị trường biến động mạnh,active
TS006,Vàng,Kim_Loai_Quy,Kim,Trung_Binh,Trung_Binh,Cao,Trung_Binh,Dai_Han,Thap,Than_Trong|Can_Bang,Kim,Tho,Hoa,Chống lạm phát tốt,Không tạo dòng tiền,Giai đoạn bất ổn kinh tế,active
TS007,Bạc,Kim_Loai_Quy,Kim,Trung_Binh,Trung_Binh,Cao,Trung_Binh,Trung_Han,Thap,Can_Bang,Kim,Tho,Hoa,Dễ tích lũy,Biến động theo công nghiệp,Đầu tư phòng thủ,active
TS008,Kim loại quý khác,Kim_Loai_Quy,Kim,Cao,Cao,Trung_Binh,Cao,Dai_Han,Cao,Mao_Hiem,Kim,Tho,Hoa,Tiềm năng tăng giá,Biến động lớn,Nhà đầu tư chuyên nghiệp,active
TS009,Quỹ mở,Quy_Dau_Tu,Moc,Trung_Binh,Trung_Binh,Cao,Trung_Binh,Dai_Han,Thap,Can_Bang|Than_Trong,Moc,Thuy,Kim,Được quản lý chuyên nghiệp,Không tự kiểm soát danh mục,Người mới đầu tư,active
TS010,ETF,Quy_Dau_Tu,Kim,Trung_Binh,Trung_Binh,Cao,Cao,Dai_Han,Trung_Binh,Can_Bang|Tang_Truong,Kim,Thuy,Hoa,Chi phí thấp đa dạng hóa,Phụ thuộc thị trường,Đầu tư dài hạn,active
TS011,Quỹ trái phiếu,Quy_Dau_Tu,Tho,Thap,Thap,Cao,Trung_Binh,Trung_Han,Thap,Than_Trong,Tho,Kim,Hoa,Ổn định,Ít tăng trưởng,Giai đoạn phòng thủ,active
TS012,Quỹ cổ phiếu,Quy_Dau_Tu,Kim,Cao,Cao,Cao,Cao,Dai_Han,Trung_Binh,Tang_Truong,Kim,Thuy,Tho,Tăng trưởng dài hạn,Biến động cao,Đại vận thuận lợi,active
TS013,Kinh doanh cá nhân,Kinh_Doanh,Hoa,Cao,Cao,Thap,Rat_Cao,Dai_Han,Cao,Mao_Hiem,Hoa,Moc,Thuy,Lợi nhuận không giới hạn,Rủi ro cao,Có Thiên Tài vượng,active
TS014,Góp vốn doanh nghiệp,Kinh_Doanh,Hoa,Cao,Cao,Thap,Rat_Cao,Dai_Han,Cao,Mao_Hiem,Hoa,Moc,Thuy,Mở rộng tài sản,Khó thoái vốn,Năng lực đầu tư xuất sắc,active
TS015,Nhượng quyền,Kinh_Doanh,Hoa,Trung_Binh,Trung_Binh,Thap,Cao,Dai_Han,Trung_Binh,Tang_Truong,Hoa,Moc,Thuy,Mô hình đã kiểm chứng,Chi phí ban đầu lớn,Có kinh nghiệm quản trị,active
TS016,Nông nghiệp,Nong_Nghiep,Moc,Trung_Binh,Trung_Binh,Thap,Cao,Dai_Han,Trung_Binh,Can_Bang|Tang_Truong,Moc,Thuy,Kim,Tăng trưởng bền vững,Chu kỳ dài,Dụng thần Mộc,active
TS017,Lâm nghiệp,Nong_Nghiep,Moc,Trung_Binh,Thap,Thap,Cao,Dai_Han,Trung_Binh,Can_Bang,Moc,Thuy,Kim,Giá trị tăng theo thời gian,Thu hồi vốn chậm,Đầu tư dài hạn,active
TS018,Logistics,Dich_Vu,Thuy,Cao,Cao,Trung_Binh,Rat_Cao,Dai_Han,Cao,Tang_Truong,Thuy,Kim,Tho,Hưởng lợi từ thương mại,Đòi hỏi quản trị cao,Dụng thần Thủy,active
TS019,Giáo dục,Dich_Vu,Moc,Trung_Binh,Thap,Trung_Binh,Cao,Dai_Han,Trung_Binh,Can_Bang,Moc,Hoa,Kim,Ổn định phát triển lâu dài,Tăng trưởng chậm,Hỷ thần Mộc,active
TS020,Công nghệ,Dich_Vu,Hoa,Cao,Cao,Cao,Rat_Cao,Dai_Han,Cao,Mao_Hiem,Hoa,Moc,Thuy,Tăng trưởng mạnh,Rủi ro đổi mới cao,Năng lực đầu tư cao và Đại vận thuận lợi,active
TS021,Năng lượng,Dich_Vu,Hoa,Cao,Cao,Trung_Binh,Cao,Dai_Han,Cao,Tang_Truong,Hoa,Tho,Thuy,Hưởng lợi chu kỳ kinh tế,Biến động giá lớn,Theo chu kỳ hàng hóa,active
