id,ma_loai,ten_loai,nhom,mo_ta,nguon_hinh_thanh,muc_do_rui_ro,tinh_on_dinh,kha_nang_tich_luy,lien_quan_thap_than,ghi_chu,trang_thai
1,TAI001,Chính Tài,Thu nhập chính,Thu nhập ổn định từ nghề nghiệp hoặc chức vụ,Lương,Thấp,Cao,Cao,Chính Tài,Nguồn thu chính của đa số lá số,active
2,TAI002,Thiên Tài,Thu nhập phụ,Thu nhập ngoài nghề chính hoặc tài lộc bất ngờ,Kinh doanh đầu tư,Cao,Trung bình,Trung bình,Thiên Tài,Thu nhập biến động mạnh,active
3,TAI003,Kinh doanh,Tự doanh,Tự tạo nguồn thu từ hoạt động kinh doanh,Mua bán dịch vụ,Cao,Trung bình,Cao,Thiên Tài|Thực Thần|Thương Quan,Phụ thuộc năng lực điều hành,active
4,TAI004,Đầu tư,Tài sản,Tăng trưởng tài sản thông qua đầu tư,Tài chính,Cao,Thấp,Cao,Thiên Tài|Chính Tài,Cần xét Đại vận và Lưu niên,active
5,TAI005,Bất động sản,Tài sản,Thu nhập từ mua bán hoặc cho thuê bất động sản,Bất động sản,Trung bình,Cao,Rất cao,Chính Tài|Thiên Tài,Phù hợp tích lũy dài hạn,active
6,TAI006,Chứng khoán,Đầu tư,Thu nhập từ cổ phiếu trái phiếu quỹ đầu tư,Thị trường vốn,Rất cao,Thấp,Trung bình,Thiên Tài,Rủi ro theo chu kỳ thị trường,active
7,TAI007,Hoa hồng,Môi giới,Thu nhập theo doanh số hoặc giới thiệu,Dịch vụ,Cao,Thấp,Thấp,Thương Quan|Thiên Tài,Thu nhập không ổn định,active
8,TAI008,Nghề tự do,Freelance,Thu nhập từ chuyên môn độc lập,Dịch vụ cá nhân,Trung bình,Trung bình,Trung bình,Thực Thần|Thương Quan,Phụ thuộc năng lực cá nhân,active
9,TAI009,Bản quyền,Sở hữu trí tuệ,Thu nhập từ tác phẩm sáng chế hoặc bản quyền,Tài sản trí tuệ,Thấp,Cao,Rất cao,Thực Thần,Thu nhập thụ động dài hạn,active
10,TAI010,Cổ tức,Đầu tư,Thu nhập từ góp vốn hoặc sở hữu cổ phần,Vốn góp,Thấp,Cao,Cao,Chính Tài|Thiên Tài,Phù hợp đầu tư dài hạn,active
11,TAI011,Cho thuê,Tài sản,Thu nhập từ khai thác tài sản nhàn rỗi,Tài sản sở hữu,Thấp,Cao,Cao,Chính Tài,Thu nhập tương đối ổn định,active
12,TAI012,Nông nghiệp,Sản xuất,Thu nhập từ trồng trọt chăn nuôi hoặc lâm nghiệp,Sản xuất,Trung bình,Trung bình,Trung bình,Chính Tài,Phụ thuộc mùa vụ,active
13,TAI013,Sản xuất,Công nghiệp,Thu nhập từ hoạt động sản xuất hàng hóa,Doanh nghiệp,Trung bình,Cao,Cao,Chính Tài|Thực Thần,Đòi hỏi vốn và quản trị,active
14,TAI014,Thương mại,Kinh doanh,Thu nhập từ mua bán hàng hóa,Thương mại,Cao,Trung bình,Cao,Thiên Tài|Thương Quan,Phù hợp người có năng lực giao dịch,active
15,TAI015,Dịch vụ,Dịch vụ,Thu nhập từ cung cấp dịch vụ chuyên môn,Dịch vụ,Trung bình,Cao,Trung bình,Thực Thần,Được đánh giá thêm tại module sự nghiệp,active
16,TAI016,Quản lý tài sản,Tài chính,Thu nhập từ quản lý vốn hoặc tài sản,Tài chính,Trung bình,Cao,Cao,Chính Tài|Chính Quan,Yêu cầu năng lực quản trị,active
17,TAI017,Thừa kế,Tài sản,Thu nhập từ tài sản được thừa kế,Tài sản gia đình,Thấp,Cao,Cao,Không cố định,Không phải nguồn thu do năng lực bản thân,active
18,TAI018,Quà tặng,Tài lộc,Thu nhập từ biếu tặng hoặc tài trợ,Tài lộc,Thấp,Thấp,Thấp,Thiên Tài,Không phải nguồn thu bền vững,active
19,TAI019,Trúng thưởng,Tài lộc,Thu nhập bất ngờ từ may mắn,May mắn,Rất cao,Rất thấp,Thấp,Thiên Tài,Cần kết hợp thần sát và lưu niên,active
20,TAI020,Thu nhập hỗn hợp,Tổng hợp,Kết hợp nhiều nguồn thu cùng lúc,Nhiều nguồn,Trung bình,Cao,Rất cao,Tổng hợp,Đánh giá khi nhiều Rule cùng kích hoạt,active
