id,rule_code,ten_god,condition,score,priority,max_apply,school,version,status,description
TNS001,DIRECT_OFFICER,Chính Quan,VÔ_DỤNG,-18,100,1,TRADITIONAL,1.0,active,Quan tinh gây áp lực
TNS002,SEVEN_KILLING,Thất Sát,VÔ_CHẾ,-25,100,1,TRADITIONAL,1.0,active,Sát vô chế
TNS003,DIRECT_RESOURCE,Chính Ấn,QUÁ_NHIỀU,-12,90,1,TRADITIONAL,1.0,active,Ấn quá vượng
TNS004,INDIRECT_RESOURCE,Thiên Ấn,ĐOẠT_THỰC,-15,95,1,TRADITIONAL,1.0,active,Thiên Ấn đoạt Thực
TNS005,DIRECT_WEALTH,Chính Tài,PHÁ_TÀI,-20,95,1,TRADITIONAL,1.0,active,Tài bị phá
TNS006,INDIRECT_WEALTH,Thiên Tài,PHÙ_PHIẾM,-15,85,1,TRADITIONAL,1.0,active,Thiên Tài bất ổn
TNS007,EATING_GOD,Thực Thần,BỊ_PHÁ,-12,85,1,TRADITIONAL,1.0,active,Thực Thần bị phá
TNS008,HURTING_OFFICER,Thương Quan,KIẾN_QUAN,-22,100,1,TRADITIONAL,1.0,active,Thương Quan kiến Quan
TNS009,FRIEND,Tỷ Kiên,TRANH_TÀI,-15,90,1,TRADITIONAL,1.0,active,Tỷ Kiên tranh tài
TNS010,ROBBING_WEALTH,Kiếp Tài,ĐOẠT_TÀI,-20,95,1,TRADITIONAL,1.0,active,Kiếp Tài đoạt tài
