id,rule_code,rule_name,score,group,max_apply,description
WX001,SEASON_SUPPORT,Được mùa sinh,15,BASIC,1,Được lệnh theo tháng sinh
WX002,HAS_ROOT,Có thông căn,10,BASIC,2,Có gốc tại Địa Chi
WX003,HAS_BRANCH_SUPPORT,Được Địa Chi sinh,8,BASIC,3,Có Chi sinh trợ
WX004,HAS_STEM_SUPPORT,Được Thiên Can sinh,8,BASIC,3,Có Can sinh trợ
WX005,FIVE_ELEMENTS_BALANCED,Ngũ hành cân bằng,20,BALANCE,1,Cân bằng tổng thể
WX006,EXCESS_ELEMENT,Ngũ hành quá vượng,-10,BALANCE,5,Một hành quá mạnh
WX007,MISSING_ELEMENT,Khuyết hành,-15,BALANCE,5,Một hành không xuất hiện
WX008,ELEMENT_CLASH,Bị khắc mạnh,-12,PENALTY,5,Bị hành khác khắc
WX009,ELEMENT_DRAIN,Bị tiết khí,-8,PENALTY,5,Bị sinh xuất quá nhiều
WX010,ELEMENT_COMBINATION,Hợp hóa thành công,10,SPECIAL,3,Hợp hóa thành hành có lợi
