rule_id,dieu_kien,ket_qua,phan_loai,diem,ghi_chu
CH001,Hồng Loan AND Thiên Hỷ,Đại Cát,Cát,+40,Hỷ sự
CH002,Hồng Loan AND Đào Hoa,Cát,Cát,+30,Duyên mạnh
CH003,Thiên Hỷ AND Hợp Cung Phu Thê,Cát,Cát,+35,Hôn nhân thuận
CH004,Chính Quan Đắc Lệnh,Nữ Mệnh Tốt,Cát,+25,Nữ
CH005,Chính Tài Đắc Lệnh,Nam Mệnh Tốt,Cát,+25,Nam
CH006,Cô Thần AND Quả Tú,Đại Hung,Hung,-40,Cô độc
CH007,Xung Cung Phu Thê AND Quả Tú,Hung,Hung,-35,Khó bền
CH008,Tỷ Kiếp Quá Vượng,Hung,Hung,-20,Tranh phối ngẫu
CH009,Quan Sát Hỗn Tạp,Hung,Hung,-25,Nữ
CH010,Tài Tinh Hỗn Tạp,Hung,Hung,-25,Nam
CH011,Hồng Loan AND Cô Thần,Bán Cát,Trung Bình,-5,Giảm cát
CH012,Thiên Hỷ AND Quả Tú,Bán Hung,Trung Bình,-10,Hỷ giảm
