rule_id,doi_tuong_1,doi_tuong_2,loai_xung_dot,he_so,uu_tien,trang_thai,ghi_chu
XD001,Thực Thần,Thương Quan quá vượng,Triệt tiêu,-0.40,100,ACTIVE,Giảm tác dụng Thực Thần
XD002,Dụng Thần,Kỵ Thần,Cân bằng,-0.30,100,ACTIVE,Điều chỉnh tổng hợp
XD003,Hợp Thời Chi,Xung Thời Chi,Ưu tiên Xung,-0.60,100,ACTIVE,Xung mạnh hơn hợp
XD004,Hợp Thời Chi,Hình Thời Chi,Giảm hiệu lực,-0.40,90,ACTIVE,Hình làm giảm hợp
XD005,Hợp Thời Chi,Hại Thời Chi,Giảm hiệu lực,-0.40,90,ACTIVE,Hại làm giảm hợp
XD006,Thiên Đức,Kiếp Sát,Hóa giải,0.30,90,ACTIVE,Thiên Đức giảm hung
XD007,Nguyệt Đức,Bạch Hổ,Hóa giải,0.30,90,ACTIVE,Giảm tác động Bạch Hổ
XD008,Thiên Ất,Cô Thần,Hóa giải,0.20,85,ACTIVE,Giảm cô độc
XD009,Văn Xương,Hoa Cái,Tăng cường,0.20,80,ACTIVE,Tăng học vấn
XD010,Thực Thần,Không Vong,Triệt tiêu,-0.50,95,ACTIVE,Giảm cát khí tử tức
XD011,Lộc Thần,Kiếp Sát,Triệt tiêu,-0.30,85,ACTIVE,Giảm tài lộc con cái
XD012,Thiên Đức + Nguyệt Đức,Cô Thần + Quả Tú,Hóa giải,0.40,95,ACTIVE,Giảm ảnh hưởng hung
