id,thu_tu,ten,ten_han,kinh_do_bat_dau,kinh_do_ket_thuc,mua,thang_am_bat_dau,ngay_duong_du_kien,mo_ta
TK001,1,Lập Xuân,立春,315,330,Xuân,1,02-04,Bắt đầu mùa xuân
TK002,2,Vũ Thủy,雨水,330,345,Xuân,1,02-19,Mưa bắt đầu nhiều
TK003,3,Kinh Trập,驚蟄,345,0,Xuân,2,03-06,Sâu bọ thức tỉnh
TK004,4,Xuân Phân,春分,0,15,Xuân,2,03-21,Ngày đêm dài bằng nhau
TK005,5,Thanh Minh,清明,15,30,Xuân,3,04-05,Trời trong sáng
TK006,6,Cốc Vũ,穀雨,30,45,Xuân,3,04-20,Mưa thuận cho ngũ cốc
TK007,7,Lập Hạ,立夏,45,60,Hạ,4,05-06,Bắt đầu mùa hạ
TK008,8,Tiểu Mãn,小滿,60,75,Hạ,4,05-21,Hạt bắt đầu đầy
TK009,9,Mang Chủng,芒種,75,90,Hạ,5,06-06,Thời kỳ gieo trồng
TK010,10,Hạ Chí,夏至,90,105,Hạ,5,06-21,Hạ chí - ngày dài nhất
TK011,11,Tiểu Thử,小暑,105,120,Hạ,6,07-07,Bắt đầu nóng
TK012,12,Đại Thử,大暑,120,135,Hạ,6,07-23,Nóng cực điểm
TK013,13,Lập Thu,立秋,135,150,Thu,7,08-08,Bắt đầu mùa thu
TK014,14,Xử Thử,處暑,150,165,Thu,7,08-23,Nóng giảm dần
TK015,15,Bạch Lộ,白露,165,180,Thu,8,09-08,Sương trắng xuất hiện
TK016,16,Thu Phân,秋分,180,195,Thu,8,09-23,Ngày đêm dài bằng nhau
TK017,17,Hàn Lộ,寒露,195,210,Thu,9,10-08,Sương lạnh
TK018,18,Sương Giáng,霜降,210,225,Thu,9,10-23,Sương bắt đầu xuất hiện
TK019,19,Lập Đông,立冬,225,240,Đông,10,11-07,Bắt đầu mùa đông
TK020,20,Tiểu Tuyết,小雪,240,255,Đông,10,11-22,Tuyết bắt đầu rơi
TK021,21,Đại Tuyết,大雪,255,270,Đông,11,12-07,Tuyết nhiều
TK022,22,Đông Chí,冬至,270,285,Đông,11,12-22,Đông chí - ngày ngắn nhất
TK023,23,Tiểu Hàn,小寒,285,300,Đông,12,01-06,Lạnh nhẹ
TK024,24,Đại Hàn,大寒,300,315,Đông,12,01-20,Lạnh cực điểm
