id,doi_tuong,muc_do,mau_giai_thich,goi_y,uu_tien
GT001,Hồng Loan,Cát,"Lá số có Hồng Loan, chủ nhân có duyên với người khác giới, dễ gặp cơ hội phát triển tình cảm.","Nên chủ động xây dựng các mối quan hệ tích cực.",90
GT002,Thiên Hỷ,Cát,"Thiên Hỷ mang đến tin vui, hỷ sự và thuận lợi cho việc kết hôn hoặc xây dựng gia đình.","Thích hợp tiến hành việc trọng đại trong thời vận tốt.",90
GT003,Đào Hoa,Cát,"Đào Hoa làm tăng sức hấp dẫn, khả năng giao tiếp và mở rộng nhân duyên.","Cần giữ sự chân thành để tránh đào hoa quá vượng.",80
GT004,Hợp Cung Phu Thê,Cát,"Cung Phu Thê được hợp, đời sống hôn nhân có xu hướng hòa hợp và ổn định.","Nên phát huy sự chia sẻ và đồng hành cùng bạn đời.",95
GT005,Chính Tài,Cát,"Nam mệnh có Chính Tài vượng, dễ gặp người phối ngẫu biết vun vén gia đình.","Ưu tiên xây dựng sự nghiệp trước khi lập gia đình.",95
GT006,Chính Quan,Cát,"Nữ mệnh có Chính Quan vượng, dễ gặp người phối ngẫu có trách nhiệm.","Nên lựa chọn người có cùng giá trị sống.",95
GT007,Cô Thần,Hung,"Cô Thần khiến nội tâm khép kín, khó bộc lộ cảm xúc.","Cần chủ động chia sẻ để tránh khoảng cách.",100
GT008,Quả Tú,Hung,"Quả Tú báo hiệu nhân duyên đến muộn hoặc dễ cảm thấy cô đơn.","Không nên quá nóng vội trong hôn nhân.",100
GT009,Xung Cung Phu Thê,Hung,"Cung Phu Thê bị xung, dễ phát sinh mâu thuẫn hoặc thay đổi trong đời sống hôn nhân.","Cần học cách lắng nghe và nhường nhịn.",100
GT010,Quan Sát Hỗn Tạp,Hung,"Quan Sát hỗn tạp làm tình cảm dễ biến động.","Nên thận trọng khi lựa chọn đối tượng.",95
GT011,Tài Tinh Hỗn Tạp,Hung,"Tài tinh hỗn tạp khiến nam mệnh dễ gặp nhiều lựa chọn tình cảm.","Cần giữ sự chung thủy và ổn định.",95
GT012,Hồng Loan + Thiên Hỷ,Đại Cát,"Đồng thời có Hồng Loan và Thiên Hỷ là dấu hiệu rất thuận lợi cho hôn nhân.","Có thể tiến hành việc cưới hỏi khi vận tốt.",100
GT013,Cô Thần + Quả Tú,Đại Hung,"Đồng thời có Cô Thần và Quả Tú làm tăng nguy cơ cô độc hoặc kết hôn muộn.","Nên kết hôn khi đại vận và lưu niên thuận lợi.",100
