timezone_id,timezone_name,utc_offset,dst_supported,dst_offset,country,city,status,description
TZ001,UTC,-0,false,0,Global,UTC,ACTIVE,Giờ quốc tế chuẩn
TZ002,Asia/Ho_Chi_Minh,7,false,0,Viet Nam,Ha Noi,ACTIVE,Múi giờ Việt Nam
TZ003,Asia/Bangkok,7,false,0,Thailand,Bangkok,ACTIVE,Múi giờ Thái Lan
TZ004,Asia/Phnom_Penh,7,false,0,Cambodia,Phnom Penh,ACTIVE,Múi giờ Campuchia
TZ005,Asia/Vientiane,7,false,0,Laos,Vientiane,ACTIVE,Múi giờ Lào
TZ006,Asia/Singapore,8,false,0,Singapore,Singapore,ACTIVE,Múi giờ Singapore
TZ007,Asia/Kuala_Lumpur,8,false,0,Malaysia,Kuala Lumpur,ACTIVE,Múi giờ Malaysia
TZ008,Asia/Manila,8,false,0,Philippines,Manila,ACTIVE,Múi giờ Philippines
TZ009,Asia/Shanghai,8,false,0,China,Beijing,ACTIVE,Múi giờ Trung Quốc
TZ010,Asia/Taipei,8,false,0,Taiwan,Taipei,ACTIVE,Múi giờ Đài Loan
TZ011,Asia/Tokyo,9,false,0,Japan,Tokyo,ACTIVE,Múi giờ Nhật Bản
TZ012,Asia/Seoul,9,false,0,South Korea,Seoul,ACTIVE,Múi giờ Hàn Quốc
TZ013,Australia/Sydney,10,true,1,Australia,Sydney,ACTIVE,Có áp dụng giờ mùa hè
TZ014,Europe/London,0,true,1,United Kingdom,London,ACTIVE,Có áp dụng giờ mùa hè
TZ015,Europe/Paris,1,true,1,France,Paris,ACTIVE,Có áp dụng giờ mùa hè
TZ016,Europe/Berlin,1,true,1,Germany,Berlin,ACTIVE,Có áp dụng giờ mùa hè
TZ017,America/New_York,-5,true,1,United States,New York,ACTIVE,Có áp dụng giờ mùa hè
TZ018,America/Chicago,-6,true,1,United States,Chicago,ACTIVE,Có áp dụng giờ mùa hè
TZ019,America/Denver,-7,true,1,United States,Denver,ACTIVE,Có áp dụng giờ mùa hè
TZ020,America/Los_Angeles,-8,true,1,United States,Los Angeles,ACTIVE,Có áp dụng giờ mùa hè
