id,dieu_kien,khuyen_nghi,muc_do,uu_tien
KN001,Hồng Loan,"Mở rộng quan hệ xã hội để tăng cơ hội gặp người phù hợp.",Cát,80
KN002,Thiên Hỷ,"Nên lựa chọn thời điểm cát lợi để kết hôn.",Cát,85
KN003,Đào Hoa,"Giữ giới hạn trong các mối quan hệ để tránh thị phi.",Trung Bình,75
KN004,Chính Quan Vượng,"Ưu tiên người có trách nhiệm và ổn định.",Cát,90
KN005,Chính Tài Vượng,"Xây dựng nền tảng tài chính trước hôn nhân.",Cát,90
KN006,Cô Thần,"Không nên sống khép kín, cần chia sẻ cảm xúc nhiều hơn.",Hung,100
KN007,Quả Tú,"Không nên kết hôn quá sớm nếu vận chưa thuận.",Hung,95
KN008,Xung Cung Phu Thê,"Rèn luyện kỹ năng giao tiếp và giải quyết xung đột.",Hung,100
KN009,Quan Sát Hỗn Tạp,"Không nên quyết định hôn nhân khi cảm xúc chưa ổn định.",Hung,95
KN010,Tài Tinh Hỗn Tạp,"Giữ sự rõ ràng trong các mối quan hệ tình cảm.",Hung,95
KN011,Hồng Loan + Thiên Hỷ,"Thời điểm thuận lợi để tiến tới hôn nhân.",Đại Cát,100
KN012,Cô Thần + Quả Tú,"Nên ưu tiên phát triển bản thân và chờ vận tốt.",Đại Hung,100
