id,thu_tu,ten,ten_han,ten_tieng_anh,alias,nhom,giai_doan,mo_ta
TS01,1,Trường Sinh,長生,Birth,truong_sinh,Sinh,Khởi đầu,Giai đoạn bắt đầu hình thành và sinh trưởng, tượng trưng cho sự khởi đầu và sức sống.
TS02,2,Mộc Dục,沐浴,Bath,moc_duc,Sinh,Phát triển,Giai đoạn tắm gội, thanh lọc và phát triển ban đầu, tượng trưng cho sự non trẻ.
TS03,3,Quan Đới,冠帶,Capping,quan_doi,Sinh,Trưởng thành,Giai đoạn đội mũ trưởng thành, bắt đầu đảm nhận trách nhiệm và hoàn thiện bản thân.
TS04,4,Lâm Quan,臨官,Official,lam_quan,Vượng,Phát triển mạnh,Giai đoạn bước vào quan lộ, năng lực đạt mức cao, sự nghiệp bắt đầu phát triển.
TS05,5,Đế Vượng,帝旺,Prosperity,de_vuong,Vượng,Cực thịnh,Giai đoạn hưng thịnh nhất, sức mạnh và khí thế đạt đỉnh cao.
TS06,6,Suy,衰,Decline,suy,Suy,Suy giảm,Giai đoạn bắt đầu suy yếu sau thời kỳ cực thịnh.
TS07,7,Bệnh,病,Illness,benh,Suy,Suy nhược,Giai đoạn khí lực suy giảm rõ rệt, dễ phát sinh tổn hao.
TS08,8,Tử,死,Death,tu,Suy,Kết thúc,Giai đoạn kết thúc chu kỳ phát triển, tượng trưng cho sự chấm dứt.
TS09,9,Mộ,墓,Tomb,mo,Tàng,Tích lũy,Giai đoạn quy tàng, cất giữ và tích tụ năng lượng chuẩn bị cho chu kỳ mới.
TS10,10,Tuyệt,絕,Extinction,tuyet,Tàng,Đoạn tuyệt,Giai đoạn năng lượng gần như chấm dứt hoàn toàn, chuyển sang chu kỳ mới.
TS11,11,Thai,胎,Conception,thai,Tái sinh,Hình thành,Giai đoạn thai nghén, bắt đầu hình thành mầm sống mới.
TS12,12,Dưỡng,養,Nourishment,duong,Tái sinh,Nuôi dưỡng,Giai đoạn nuôi dưỡng và chuẩn bị cho Trường Sinh của chu kỳ tiếp theo.
