rule_id,priority,score,conditions,useful_god,favorable_gods,unfavorable_gods,reason,description,reference,status,enabled
str_001,80,0.82,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""weak""}, {""field"": ""resource_elements"", ""operator"": ""contains"", ""value"": ""Chính Ấn""}]",Chính Ấn,"[""Chính Ấn"", ""Thiên Ấn"", ""Tỷ Kiên""]","[""Chính Tài"", ""Thiên Tài""]",Than nhược cần sinh trợ,Ưu tiên Ấn khi thân nhược và có căn Ấn,BTE-UG-V2,active,true
str_002,78,0.80,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""weak""}]",Thiên Ấn,"[""Thiên Ấn"", ""Chính Ấn"", ""Kiếp Tài""]","[""Chính Tài"", ""Thiên Tài""]",Than nhược ưu tiên Ấn,Fallback cho thân nhược,BTE-UG-V2,active,true
str_003,82,0.84,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}, {""field"": ""officer_elements"", ""operator"": ""contains"", ""value"": ""Chính Quan""}]",Chính Quan,"[""Chính Quan"", ""Thực Thần""]","[""Tỷ Kiên"", ""Kiếp Tài""]",Than vượng cần khắc tiết,Ưu tiên Quan để chế thân vượng,BTE-UG-V2,active,true
str_004,76,0.77,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}]",Thực Thần,"[""Thực Thần"", ""Thương Quan""]","[""Tỷ Kiên"", ""Kiếp Tài""]",Than vượng cần tiết khí,Fallback cho thân vượng,BTE-UG-V2,active,true
str_005,70,0.72,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""balanced""}]",Chính Tài,"[""Chính Tài"", ""Thực Thần""]","[""Kiếp Tài""]",Than trung hòa ưu tiên lưu thông,Dùng Tài để vận hành ngũ hành,BTE-UG-V2,quarantined,false
str_balanced_hot_wood_output,96,0.95,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""balanced""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Mộc""}, {""field"": ""temperature_type"", ""operator"": ""=="", ""value"": ""hot""}, {""field"": ""main_pattern"", ""operator"": ""in"", ""value"": [""thuc_than"", ""thuong_quan""]}]",Nhâm,"[""Nhâm"", ""Quý"", ""Giáp"", ""Ất"", ""Canh""]","[""Bính"", ""Đinh"", ""Mậu"", ""Kỷ""]",Mộc mùa nóng bị tiết và hao cần Thủy nhuận sinh,Thủy làm trọng tâm; Mộc bổ trợ và Kim chỉ dùng mềm có điều kiện; tránh Hỏa Thổ tăng khô kiệt,BTE-UG-V2,active,true
str_balanced_rooster_earth_output,95,0.94,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""balanced""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Thổ""}, {""field"": ""month_branch"", ""operator"": ""=="", ""value"": ""Dậu""}, {""field"": ""main_pattern"", ""operator"": ""in"", ""value"": [""thuc_than"", ""thuong_quan""]}]",Đinh,"[""Đinh"", ""Bính"", ""Mậu"", ""Kỷ""]","[""Canh"", ""Tân"", ""Giáp"", ""Ất""]",Kỷ Thổ sinh tháng Dậu bị Kim tiết mạnh cần Hỏa sinh thân chế Kim,Hỏa làm trọng tâm và Thổ làm trợ lực; tránh Kim tăng tiết và Mộc tăng khắc,BTE-UG-V2,active,true
str_balanced_cold_metal_sat_resource,96,0.95,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""balanced""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Kim""}, {""field"": ""temperature_type"", ""operator"": ""=="", ""value"": ""cold""}, {""field"": ""main_pattern"", ""operator"": ""=="", ""value"": ""sat_an""}]",Bính,"[""Bính"", ""Mậu"", ""Kỷ"", ""Canh"", ""Tân""]","[""Nhâm"", ""Quý""]",Kim mùa đông khí hàn có Sát Ấn cần Hỏa ôn luyện,Hỏa làm trọng tâm; Thổ chuyển Sát sinh thân và Kim trợ căn; tránh Thủy tăng hàn và tiết khí,BTE-UG-V2,active,true
str_cool_monkey_strong_water,96,0.95,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Thủy""}, {""field"": ""month_branch"", ""operator"": ""=="", ""value"": ""Thân""}, {""field"": ""temperature_type"", ""operator"": ""=="", ""value"": ""cool""}]",Đinh,"[""Đinh"", ""Bính"", ""Giáp"", ""Ất""]","[""Mậu"", ""Kỷ"", ""Canh"", ""Tân"", ""Nhâm"", ""Quý""]",Thủy vượng sinh tháng Thân khí mát cần Hỏa ôn ấm và hao thân,Hỏa làm trọng tâm; Mộc tiết Thủy và sinh Hỏa; tránh Thổ đã có nhiều căn cùng Kim Thủy tăng thêm áp lực,BTE-UG-V2,active,true
str_cool_monkey_strong_metal,97,0.96,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Kim""}, {""field"": ""month_branch"", ""operator"": ""=="", ""value"": ""Thân""}, {""field"": ""temperature_type"", ""operator"": ""=="", ""value"": ""cool""}]",Bính,"[""Bính"", ""Đinh"", ""Giáp"", ""Ất""]","[""Mậu"", ""Kỷ"", ""Canh"", ""Tân"", ""Nhâm"", ""Quý""]",Kim vượng sinh tháng Thân khí mát cần Hỏa chế luyện và ôn ấm,Hỏa làm trọng tâm; Mộc sinh Hỏa và hao Kim; tránh Thổ Kim trợ thân cùng Thủy làm giảm tác dụng ôn luyện,BTE-UG-V2,active,true
