id,dieu_kien,khuyen_nghi,muc_do,uu_tien
KN001,Thực Thần Vượng,"Dành nhiều thời gian giáo dục và đồng hành cùng con.",Cát,90
KN002,Văn Xương,"Khuyến khích con học tập và phát triển kỹ năng.",Cát,85
KN003,Quốc Ấn,"Rèn luyện tinh thần trách nhiệm và khả năng lãnh đạo cho con.",Cát,80
KN004,Lộc Thần,"Xây dựng nền tảng tài chính ổn định cho gia đình.",Cát,80
KN005,Thiên Đức,"Tăng cường làm việc thiện để bồi đắp phúc đức.",Cát,90
KN006,Nguyệt Đức,"Giữ hòa khí trong gia đình để tăng cát khí.",Cát,90
KN007,Cô Thần,"Chủ động kết nối và chia sẻ với con nhiều hơn.",Hung,100
KN008,Quả Tú,"Không nên quá áp lực về thời điểm sinh con.",Hung,95
KN009,Bạch Hổ,"Quan tâm đến sức khỏe và an toàn của con cái.",Hung,95
KN010,Kiếp Sát,"Tránh nóng giận trong việc dạy con.",Hung,90
KN011,Xung Thời Chi,"Học kỹ năng giao tiếp và giải quyết mâu thuẫn trong gia đình.",Hung,100
KN012,Tổng điểm thấp,"Nên xem thêm Đại vận và Lưu niên để xác định thời điểm thuận lợi.",Khuyến nghị,100
