id,than_sat,ten_han_viet,nhom_than_sat,loai,ngu_hanh,linh_vuc_anh_huong,mo_ta_ngan
TS001,Thien At Quy Nhan,Thiên Ất Quý Nhân,Quy Nhan,Cat Tinh,Tho,Quy nhan Ho tro,"Quý nhân trợ lực, gặp khó có người giúp"
TS002,Van Xuong, Văn Xương,Văn Tinh,Cat Tinh,Moc,Hoc Nghiep Cong Danh,"Thông minh, học hành, văn chương, nghiên cứu"
TS003,Quoc An,Quốc Ấn,Quy Tinh,Cat Tinh,Tho,Cong Danh Quyen Luc,"Quyền lực, chức vị, quản lý"
TS004,Loc Than,Lộc Thần,Tai Tinh,Cat Tinh,Moc,Tai Van Kinh Doanh,"Tài lộc, nguồn thu ổn định"
TS005,Hong Loan,Hồng Loan,Dao Hoa,Cat Tinh,Hoa,Hon Nhan Tinh Cam,"Duyên tình, hấp dẫn, hỷ sự"
TS006,Thien Hy,Thiên Hỷ,Hylac,Cat Tinh,Hoa,Hon Nhan Hy Su,"Niềm vui, cưới hỏi, tin vui"
TS007,Dao Hoa,Đào Hoa,Dao Hoa,Binh Tinh,Moc,Tinh Cam Xa Hoi,"Duyên dáng, giao tiếp, thu hút"
TS008,Ham Tri,Hàm Trì,Ham Tri,Binh Tinh,Thuy,Dao Hoa Tinh Cam,"Đào hoa mạnh, cảm xúc"
TS009,Dich Ma,Dịch Mã,Dich Ma,Bien Dong,Tuyet,Di Chuyen Su Nghiep,"Đi xa, thay đổi, biến động"
TS010,Hoa Cai,Hoa Cái,Hoa Cai,Binh Tinh,Kim,Tai Nang Nghe Thuat,"Tâm linh, nghệ thuật, nghiên cứu"
TS011,Co Than,Cô Thần,Co Doc,Hung Tinh,Tho,Tinh Cam Hon Nhan,"Cô độc, khó chia sẻ cảm xúc"
TS012,Qua Tu,Quả Tú,Co Doc,Hung Tinh,Tho,Tinh Cam Hon Nhan,"Cô đơn, duyên tình trắc trở"
TS013,Kiep Sat,Kiếp Sát,Sat Tinh,Hung Tinh,Kim,Tai Nan Bien Dong,"Biến động, trở ngại"
TS014,Tai Sat,Tai Sát,Tai Sat,Hung Tinh,Kim,Suc Khoe Tai Hoa,"Tai họa bất ngờ"
TS015,Nguyet Duc,Nguyệt Đức,Phuc Duc,Cat Tinh,Thuy,Giai Hoa,"Giảm tai, được che chở"
TS016,Long Duc,Long Đức,Phuc Duc,Cat Tinh,Moc,Phuc Duc,"Phúc khí, nhân duyên tốt"
TS017,Thien Duc,Thiên Đức,Phuc Duc,Cat Tinh,Hoa,Phuc Thien,"Tích đức, hóa giải"
TS018,Bach Ho,Bạch Hổ,Sat Tinh,Hung Tinh,Kim,Suc Khoe Tai Nan,"Dễ gặp va chạm, thương tích"
TS019,Thien Khoc,Thiên Khốc,Khoc Hu,Binh Tinh,Thuy,Tam Ly,"Nội tâm, suy nghĩ nhiều"
TS020,Thien Hu,Thiên Hư,Khoc Hu,Hung Tinh,Thuy,That Vong,"Trở ngại, hụt hẫng"
