data_id,ma_nhom,ten_nhom,phan_loai,mo_ta,muc_do,diem_toi_thieu,diem_toi_da,khuyen_nghi
TVD001,TV01,Tài vận xuất sắc,TongHop,Khả năng tạo lập và tích lũy tài sản rất cao,XuatSac,90,100,Duy trì chiến lược đầu tư dài hạn
TVD002,TV02,Tài vận rất tốt,TongHop,Nguồn thu ổn định và có khả năng tăng trưởng,RatTot,80,89,Mở rộng quy mô kinh doanh
TVD003,TV03,Tài vận tốt,TongHop,Tài vận phát triển ổn định,Tot,70,79,Tăng cường tích lũy và đầu tư
TVD004,TV04,Tài vận khá,TongHop,Có khả năng phát triển nếu biết quản lý,Kha,60,69,Nâng cao kỹ năng quản lý tài chính
TVD005,TV05,Tài vận trung bình,TongHop,Thu nhập tương đối ổn định,TrungBinh,50,59,Hạn chế đầu tư rủi ro
TVD006,TV06,Tài vận yếu,TongHop,Dễ thất thoát tài sản,Yeu,0,49,Ưu tiên bảo toàn tài chính

TVD007,TV07,Chính tài mạnh,TaiTinh,Thu nhập chính ổn định,RatTot,80,100,Phát triển nghề nghiệp chính
TVD008,TV08,Chính tài khá,TaiTinh,Có nguồn thu đều đặn,Tot,60,79,Duy trì nguồn thu chính
TVD009,TV09,Thiên tài mạnh,TaiTinh,Có khả năng kiếm tiền từ đầu tư,RatTot,80,100,Đầu tư có kiểm soát
TVD010,TV10,Thiên tài yếu,TaiTinh,Ít cơ hội thu nhập phụ,Yeu,0,49,Tập trung nghề nghiệp chính

TVD011,TV11,Có kho tài,KhoTai,Có khả năng giữ tiền tốt,RatTot,70,100,Tăng tích lũy tài sản
TVD012,TV12,Không có kho tài,KhoTai,Dễ tiêu hao tài sản,Yeu,0,69,Quản lý chi tiêu chặt chẽ
TVD013,TV13,Mở kho tài thành công,KhoTai,Cơ hội tăng trưởng tài sản,Tot,70,100,Khai thác thời vận
TVD014,TV14,Kho tài bị phá,KhoTai,Dễ phát sinh hao hụt,Yeu,0,49,Hạn chế đầu tư lớn

TVD015,TV15,Khả năng tích lũy cao,TichLuy,Duy trì được tài sản,RatTot,80,100,Lập kế hoạch tài chính dài hạn
TVD016,TV16,Tích lũy trung bình,TichLuy,Có tích lũy nhưng chưa bền,TrungBinh,50,79,Tăng tỷ lệ tiết kiệm
TVD017,TV17,Khó tích lũy,TichLuy,Thu nhiều chi nhiều,Yeu,0,49,Kiểm soát dòng tiền

TVD018,TV18,Đầu tư rất tốt,DauTu,Khả năng đầu tư sinh lời cao,RatTot,80,100,Ưu tiên đầu tư dài hạn
TVD019,TV19,Đầu tư khá,DauTu,Có thể đầu tư ở mức an toàn,Kha,60,79,Đa dạng hóa danh mục
TVD020,TV20,Không phù hợp đầu tư,DauTu,Rủi ro đầu tư cao,Yeu,0,59,Ưu tiên tích lũy

TVD021,TV21,Nghề nghiệp rất phù hợp,NgheNghiep,Nghề hiện tại phát huy thế mạnh,RatTot,85,100,Tập trung phát triển chuyên sâu
TVD022,TV22,Nghề nghiệp phù hợp,NgheNghiep,Có khả năng phát triển ổn định,Tot,70,84,Đầu tư nâng cao chuyên môn
TVD023,TV23,Nghề nghiệp trung bình,NgheNghiep,Phù hợp ở mức khá,Kha,55,69,Cân nhắc điều chỉnh hướng phát triển
TVD024,TV24,Nghề nghiệp không phù hợp,NgheNghiep,Dễ gặp trở ngại trong công việc,Yeu,0,54,Xem xét chuyển đổi lĩnh vực phù hợp hơn

TVD025,TV25,Giai đoạn đại vận thuận lợi,DaiVan,Đại vận hỗ trợ phát triển tài chính,RatTot,80,100,Mở rộng hoạt động kinh doanh
TVD026,TV26,Giai đoạn đại vận trung bình,DaiVan,Đại vận ổn định,Kha,60,79,Duy trì tốc độ phát triển
TVD027,TV27,Giai đoạn đại vận bất lợi,DaiVan,Đại vận gây nhiều áp lực,Yeu,0,59,Hạn chế đầu tư lớn

TVD028,TV28,Lưu niên cát lợi,LuuNien,Năm hiện tại thuận lợi về tài chính,Tot,70,100,Tăng tốc các kế hoạch
TVD029,TV29,Lưu niên bình ổn,LuuNien,Tài vận ổn định,Kha,50,69,Duy trì kế hoạch hiện tại
TVD030,TV30,Lưu niên bất lợi,LuuNien,Dễ phát sinh hao tài,Yeu,0,49,Ưu tiên phòng ngừa rủi ro
