nhom,ma,gia_tri,mo_ta,trang_thai
Ho_So_Rui_Ro,HSRR01,Rat_Than_Trong,Rất ưu tiên bảo toàn vốn,active
Ho_So_Rui_Ro,HSRR02,Than_Trong,Ưu tiên an toàn hơn lợi nhuận,active
Ho_So_Rui_Ro,HSRR03,Can_Bang,Cân bằng giữa lợi nhuận và rủi ro,active
Ho_So_Rui_Ro,HSRR04,Tang_Truong,Ưu tiên tăng trưởng dài hạn,active
Ho_So_Rui_Ro,HSRR05,Mao_Hiem,Chấp nhận rủi ro cao để tối đa lợi nhuận,active
Hanh_Dong_Dau_Tu,HDDT01,Mua,Thực hiện mua hoặc giải ngân,active
Hanh_Dong_Dau_Tu,HDDT02,Ban,Bán tài sản đầu tư,active
Hanh_Dong_Dau_Tu,HDDT03,Nam_Giu,Tiếp tục nắm giữ danh mục,active
Hanh_Dong_Dau_Tu,HDDT04,Cho,Chưa nên hành động,active
Hanh_Dong_Dau_Tu,HDDT05,Tich_Luy,Mua dần theo kế hoạch,active
Hanh_Dong_Dau_Tu,HDDT06,Chot_Loi,Hiện thực hóa lợi nhuận,active
Hanh_Dong_Dau_Tu,HDDT07,Tai_Co_Cau,Điều chỉnh lại danh mục đầu tư,active
Hanh_Dong_Dau_Tu,HDDT08,Giam_Ty_Trong,Giảm tỷ trọng tài sản rủi ro,active
Hanh_Dong_Dau_Tu,HDDT09,Tang_Ty_Trong,Tăng tỷ trọng tài sản mục tiêu,active
Hanh_Dong_Dau_Tu,HDDT10,Mo_Rong_Dau_Tu,Mở rộng quy mô đầu tư,active
Tai_San_Khuyen_Nghi,TS01,Bat_Dong_San,Đất đai nhà ở bất động sản,active
Tai_San_Khuyen_Nghi,TS02,Co_Phieu,Cổ phiếu doanh nghiệp,active
Tai_San_Khuyen_Nghi,TS03,Quy_Dau_Tu,Quỹ mở ETF quỹ đầu tư,active
Tai_San_Khuyen_Nghi,TS04,Trai_Phieu,Trái phiếu doanh nghiệp hoặc chính phủ,active
Tai_San_Khuyen_Nghi,TS05,Vang,Vàng vật chất và chứng chỉ vàng,active
Tai_San_Khuyen_Nghi,TS06,Kim_Loai_Quy,Bạc bạch kim và kim loại quý,active
Tai_San_Khuyen_Nghi,TS07,Tien_Mat,Tiền mặt hoặc tiền gửi,active
Tai_San_Khuyen_Nghi,TS08,Kinh_Doanh,Góp vốn hoặc tự kinh doanh,active
Tai_San_Khuyen_Nghi,TS09,San_Xuat,Đầu tư sản xuất,active
Tai_San_Khuyen_Nghi,TS10,Nong_Nghiep,Nông nghiệp công nghệ cao,active
Tai_San_Khuyen_Nghi,TS11,Logistics,Vận tải kho vận chuỗi cung ứng,active
Tai_San_Khuyen_Nghi,TS12,Giao_Duc,Giáo dục đào tạo,active
Tai_San_Khuyen_Nghi,TS13,Y_Te,Y tế chăm sóc sức khỏe,active
Tai_San_Khuyen_Nghi,TS14,Cong_Nghe,Công nghệ phần mềm AI,active
Tai_San_Khuyen_Nghi,TS15,Nang_Luong,Năng lượng điện môi trường,active
Tai_San_Khuyen_Nghi,TS16,Thuong_Mai,Thương mại bán lẻ bán buôn,active
Tai_San_Khuyen_Nghi,TS17,Dich_Vu,Dịch vụ chuyên môn và tiêu dùng,active
Tai_San_Khuyen_Nghi,TS18,Xuat_Nhap_Khau,Hoạt động xuất nhập khẩu,active
Tai_San_Khuyen_Nghi,TS19,Tai_Chinh,Dịch vụ tài chính ngân hàng bảo hiểm,active
Tai_San_Khuyen_Nghi,TS20,Khac,Các loại hình đầu tư khác,active
Chien_Luoc_Dau_Tu,CL01,Bao_Toan_Von,Ưu tiên bảo vệ vốn,active
Chien_Luoc_Dau_Tu,CL02,Tich_Luy_Dai_Han,Tăng trưởng tài sản dài hạn,active
Chien_Luoc_Dau_Tu,CL03,Tang_Truong,Theo đuổi tăng trưởng lợi nhuận,active
Chien_Luoc_Dau_Tu,CL04,Gia_Tang_Dong_Tien,Tối ưu dòng tiền định kỳ,active
Chien_Luoc_Dau_Tu,CL05,Da_Dang_Hoa,Phân bổ nhiều loại tài sản,active
Chien_Luoc_Dau_Tu,CL06,Xoay_Vong_Von,Luân chuyển vốn linh hoạt,active
Chien_Luoc_Dau_Tu,CL07,Phong_Thu,Giảm rủi ro trong giai đoạn bất lợi,active
Chien_Luoc_Dau_Tu,CL08,Dau_Tu_Chu_Ky,Tận dụng chu kỳ Đại vận và Lưu niên,active
Chien_Luoc_Dau_Tu,CL09,Dau_Tu_Gia_Tri,Tập trung tài sản có giá trị nội tại,active
Chien_Luoc_Dau_Tu,CL10,Dau_Tu_Chu_Dong,Chủ động tìm kiếm và nắm bắt cơ hội,active
Muc_Danh_Gia,MDG01,Rat_Thap,Điểm rất thấp,active
Muc_Danh_Gia,MDG02,Thap,Điểm thấp,active
Muc_Danh_Gia,MDG03,Trung_Binh,Điểm trung bình,active
Muc_Danh_Gia,MDG04,Kha,Điểm khá,active
Muc_Danh_Gia,MDG05,Cao,Điểm cao,active
Muc_Danh_Gia,MDG06,Rat_Cao,Điểm rất cao,active
Muc_Danh_Gia,MDG07,Xuat_Sac,Mức tối ưu,active
Ket_Luan_Tai_Van,KL01,Rat_Xau,Tài vận rất bất lợi,active
Ket_Luan_Tai_Van,KL02,Xau,Cần thận trọng về tài chính,active
Ket_Luan_Tai_Van,KL03,Trung_Binh,Tài vận ổn định ở mức trung bình,active
Ket_Luan_Tai_Van,KL04,Kha,Có nhiều cơ hội phát triển tài chính,active
Ket_Luan_Tai_Van,KL05,Tot,Tài vận thuận lợi,active
Ket_Luan_Tai_Van,KL06,Rat_Tot,Tài vận rất mạnh và bền vững,active
Ket_Luan_Tai_Van,KL07,Xuat_Sac,Hội tụ đầy đủ điều kiện phát triển tài sản lớn,active
