rule_id,day_master,element,yin_yang,title,personality,strength,weakness,career,wealth,relationship,recommendation,score

DM001,Giáp Mộc,Mộc,Dương,Nhật Chủ Giáp Mộc,"Khí chất như cây đại thụ, thẳng thắn, chính trực, có tinh thần phát triển và che chở người khác","Có ý chí mạnh, khả năng lãnh đạo, tư duy phát triển, trọng nghĩa khí","Dễ cứng nhắc, đôi khi thiếu linh hoạt, khó thay đổi quan điểm","Quản lý, giáo dục, kinh doanh, lãnh đạo, lĩnh vực phát triển con người","Tài vận đến từ sự phát triển bền vững, tích lũy lâu dài, xây dựng hệ thống","Trọng tình nghĩa, bảo vệ người thân, cần học cách mềm mỏng trong giao tiếp","Phát huy sự kiên định nhưng cần tăng khả năng thích nghi",85

DM002,Ất Mộc,Mộc,Âm,Nhật Chủ Ất Mộc,"Khí chất như hoa cỏ, tinh tế, linh hoạt, có khả năng thích nghi cao","Khéo léo, sáng tạo, giao tiếp tốt, cảm nhận tinh tế","Dễ suy nghĩ nhiều, thiếu quyết đoán khi áp lực","Nghệ thuật, tư vấn, thiết kế, thương mại, dịch vụ","Tài vận đến từ quan hệ, sự tinh tế và khả năng kết nối","Tình cảm sâu sắc, biết quan tâm nhưng dễ nhạy cảm","Cần rèn luyện sự quyết đoán và khả năng chịu áp lực",82

DM003,Bính Hỏa,Hỏa,Dương,Nhật Chủ Bính Hỏa,"Khí chất như mặt trời, nhiệt tình, hướng ngoại, thích thể hiện năng lực","Năng lượng mạnh, truyền cảm hứng, khả năng dẫn dắt","Dễ nóng vội, tiêu hao năng lượng, thiếu kiên nhẫn","Truyền thông, kinh doanh, lãnh đạo, sáng tạo, đào tạo","Có khả năng tạo tài lộc thông qua danh tiếng và năng lực cá nhân","Thẳng thắn, nhiệt tình, dễ tạo ảnh hưởng với người khác","Cần học cách kiểm soát cảm xúc và duy trì sự ổn định",86

DM004,Đinh Hỏa,Hỏa,Âm,Nhật Chủ Đinh Hỏa,"Khí chất như ngọn đèn, sâu sắc, tinh tế, có khả năng soi sáng người khác","Thông minh, nghiên cứu tốt, trực giác mạnh, tinh tế","Dễ suy nghĩ nội tâm, hay lo xa","Nghiên cứu, tư vấn, y học, giáo dục, nghệ thuật","Tài vận đến từ tri thức, chuyên môn và sự tinh tế","Tình cảm sâu sắc, yêu cầu sự đồng điệu tinh thần","Cần mở rộng giao tiếp và tránh tự tạo áp lực",83

DM005,Mậu Thổ,Thổ,Dương,Nhật Chủ Mậu Thổ,"Khí chất như núi lớn, ổn định, đáng tin cậy, có trách nhiệm","Kiên trì, chịu khó, khả năng quản lý và gánh vác","Dễ bảo thủ, chậm thay đổi, chịu áp lực một mình","Bất động sản, quản lý, xây dựng, kinh doanh truyền thống","Tài vận phát triển tốt khi xây dựng nền tảng lâu dài","Chung thủy, coi trọng gia đình, trách nhiệm cao","Cần tăng sự linh hoạt và tiếp nhận cái mới",88

DM006,Kỷ Thổ,Thổ,Âm,Nhật Chủ Kỷ Thổ,"Khí chất như đất ruộng, nuôi dưỡng, chăm sóc và tích lũy","Tỉ mỉ, thực tế, khả năng tổ chức tốt","Dễ lo nghĩ, quan tâm quá nhiều đến chi tiết","Dịch vụ, tài chính, chăm sóc, quản trị, hậu cần","Tài vận đến từ sự ổn định và khả năng quản lý nguồn lực","Biết chăm lo, quan tâm nhưng dễ hy sinh bản thân","Cần cân bằng giữa trách nhiệm và nhu cầu cá nhân",84

DM007,Canh Kim,Kim,Dương,Nhật Chủ Canh Kim,"Khí chất như kim loại cứng, mạnh mẽ, quyết đoán, trọng nguyên tắc","Ý chí mạnh, khả năng hành động, tinh thần chiến đấu cao","Dễ cứng rắn, ít biểu lộ cảm xúc","Kinh doanh, quân sự, kỹ thuật, quản trị, pháp luật","Tài vận đến từ năng lực cạnh tranh và quyết đoán","Thẳng thắn, bảo vệ người mình yêu thương","Cần tăng sự mềm mại và khả năng hợp tác",87

DM008,Tân Kim,Kim,Âm,Nhật Chủ Tân Kim,"Khí chất như kim loại tinh luyện, tinh tế, sang trọng, chú trọng chất lượng","Tinh tế, thông minh, khả năng phân tích tốt","Dễ cầu toàn, nhạy cảm với đánh giá","Tài chính, nghệ thuật, tư vấn, nghiên cứu, thẩm mỹ","Tài vận đến từ chuyên môn cao và giá trị cá nhân","Có tiêu chuẩn cao trong tình cảm, cần sự tinh tế","Cần giảm tính cầu toàn và tăng sự linh hoạt",85

DM009,Nhâm Thủy,Thủy,Dương,Nhật Chủ Nhâm Thủy,"Khí chất như biển lớn, tư duy rộng, thích khám phá và tự do","Thông minh, linh hoạt, tầm nhìn xa, thích ứng nhanh","Dễ phân tán, khó ổn định nếu thiếu mục tiêu","Kinh doanh, thương mại, nghiên cứu, ngoại giao","Tài vận đến từ dòng chảy thông tin, quan hệ và cơ hội","Có sức hút tự nhiên, thích sự tự do trong quan hệ","Cần tập trung mục tiêu và duy trì sự ổn định",86

DM010,Quý Thủy,Thủy,Âm,Nhật Chủ Quý Thủy,"Khí chất như mưa sương, tinh tế, sâu sắc, cảm nhận tốt","Thông minh, trực giác mạnh, khả năng quan sát","Dễ nhạy cảm, thiếu tự tin trong một số hoàn cảnh","Tư vấn, nghiên cứu, nghệ thuật, tâm lý, dịch vụ","Tài vận đến từ trí tuệ, thông tin và sự tinh tế","Tình cảm sâu sắc, dễ đồng cảm với người khác","Cần tăng sự tự tin và khả năng quyết đoán",83
