rule_id,body_status,useful_element,support_element,avoid_element,condition,title,meaning,career,environment,wealth,health,recommendation,score

DG001,Thân Vượng,Hỏa,Mộc,Thủy,than_vuong=true AND dung_than=Hoa,Dụng Hỏa cho Thân Vượng,"Mệnh cục dư khí cần Hỏa để luyện hóa, giúp năng lượng được sử dụng đúng hướng","Lãnh đạo, quản lý, sáng tạo, truyền thông, ngành cần thể hiện năng lực","Nên sống nơi nhiều ánh sáng, khí động, hướng Nam phù hợp","Tài vận đến từ hành động, danh tiếng và khả năng dẫn dắt","Cần chú ý tim mạch, nhiệt khí, cân bằng cảm xúc","Tăng Hỏa thông qua vận động, ánh sáng, môi trường tích cực",90

DG002,Thân Vượng,Mộc,Thủy,Hỏa,than_vuong=true AND dung_than=Moc,Dụng Mộc điều hòa Thân Vượng,"Mộc giúp khai thông năng lượng, phát triển tư duy và khả năng sáng tạo","Giáo dục, nghiên cứu, phát triển con người, môi trường xanh","Nên gần cây cối, không gian phát triển, hướng Đông","Tài vận đến từ tri thức và sự phát triển lâu dài","Cần chú ý gan, gân cốt, sự căng thẳng","Tăng học tập, sáng tạo, kết nối thiên nhiên",88

DG003,Thân Vượng,Thổ,Hỏa,Thủy,than_vuong=true AND dung_than=Tho,Dụng Thổ cân bằng,"Thổ giúp ổn định và chuyển hóa năng lượng dư thừa","Bất động sản, quản trị, xây dựng hệ thống","Không gian ổn định, gần đất, môi trường có tính nền tảng","Tài vận phát triển qua tích lũy tài sản","Cần chú ý tiêu hóa và sự trì trệ","Xây dựng nền tảng, tránh nóng vội",86

DG004,Thân Vượng,Kim,Thổ,Hỏa,than_vuong=true AND dung_than=Kim,Dụng Kim tiết chế,"Kim giúp tạo nguyên tắc, kỷ luật và khả năng kiểm soát","Tài chính, kỹ thuật, pháp luật, quản trị","Môi trường có tính trật tự, rõ ràng","Tài vận đến từ năng lực chuyên môn","Chú ý hô hấp, da, sự căng cứng","Rèn kỷ luật, logic và khả năng quyết đoán",87

DG005,Thân Vượng,Thủy,Kim,Thổ,than_vuong=true AND dung_than=Thuy,Dụng Thủy khai thông,"Thủy giúp lưu chuyển năng lượng, mở rộng tư duy","Thương mại, giao tiếp, nghiên cứu, kinh doanh quốc tế","Gần nước, môi trường linh hoạt, di chuyển nhiều","Tài vận đến từ thông tin và cơ hội","Chú ý thận, năng lượng cơ thể","Tăng giao tiếp, học hỏi và mở rộng quan hệ",85


DG006,Thân Nhược,Mộc,Thủy,Kim,than_nhuoc=true AND dung_than=Moc,Dụng Mộc trợ thân,"Mộc giúp tăng sinh khí, nâng cao khả năng phát triển","Giáo dục, sáng tạo, tư vấn, phát triển cá nhân","Nên sống nơi có cây xanh, môi trường nuôi dưỡng","Tài vận tăng khi phát triển năng lực bản thân","Chú ý sức sống và khả năng hồi phục","Cần học hỏi, kết nối quý nhân",85

DG007,Thân Nhược,Hỏa,Mộc,Thủy,than_nhuoc=true AND dung_than=Hoa,Dụng Hỏa trợ lực,"Hỏa tạo động lực, tăng sự tự tin và khả năng biểu đạt","Truyền thông, kinh doanh, nghệ thuật","Không gian sáng, ấm áp, nhiều hoạt động","Tài vận đến từ sự chủ động","Chú ý năng lượng tinh thần","Tăng vận động, giao tiếp, hành động",86

DG008,Thân Nhược,Thổ,Hỏa,Mộc,than_nhuoc=true AND dung_than=Tho,Dụng Thổ củng cố,"Thổ giúp tạo nền tảng, sự ổn định và khả năng tích lũy","Quản lý, tài chính, bất động sản","Môi trường ổn định, có tính tổ chức","Tài vận cần tích lũy lâu dài","Chú ý hệ tiêu hóa","Xây dựng kế hoạch dài hạn",84

DG009,Thân Nhược,Kim,Thổ,Hỏa,than_nhuoc=true AND dung_than=Kim,Dụng Kim sinh trợ,"Kim giúp tăng nguyên tắc, khả năng phân tích và quyết đoán","Kỹ thuật, tài chính, pháp luật","Môi trường chuyên nghiệp, kỷ luật","Tài vận đến từ chuyên môn","Chú ý sức khỏe hô hấp","Rèn luyện tính logic và kỷ luật",83

DG010,Thân Nhược,Thủy,Kim,Thổ,than_nhuoc=true AND dung_than=Thuy,Dụng Thủy khai mở,"Thủy giúp mở rộng tư duy, tăng khả năng thích ứng","Thương mại, nghiên cứu, dịch vụ","Môi trường linh hoạt, nhiều giao tiếp","Tài vận đến từ thông tin và quan hệ","Chú ý thận và sự ổn định tinh thần","Tăng học hỏi, giao lưu, trải nghiệm",85


DG011,Dụng Thần hữu lực,Tất cả,None,None,dung_than_power=true,Dụng Thần mạnh,"Mệnh cục có điểm cân bằng tốt, dễ phát huy năng lực đúng thời điểm","Có khả năng phát triển theo hướng phù hợp bản thân","Môi trường sống hỗ trợ vận khí","Tài vận tăng trưởng khi đi đúng hướng","Sức khỏe dễ duy trì cân bằng","Cần thuận theo dụng thần trong lựa chọn quan trọng",95

DG012,Dụng Thần bị phá,Tất cả,None,None,dung_than_damaged=true,Dụng Thần bị tổn thương,"Yếu tố hỗ trợ bị khắc phá khiến quá trình phát triển gặp trở ngại","Cần điều chỉnh chiến lược nghề nghiệp","Môi trường sống cần bổ sung hành hỗ trợ","Tài vận dễ biến động nếu đi sai hướng","Cần chú ý yếu tố mất cân bằng","Ưu tiên hóa giải yếu tố khắc phá trước khi phát triển",70
