id,rule_code,ten_god,condition,score,priority,max_apply,school,version,status,description
TPS001,DIRECT_OFFICER,Chính Quan,HỮU_DỤNG,20,100,1,TRADITIONAL,1.0,active,Chính Quan phát huy tốt
TPS002,SEVEN_KILLING,Thất Sát,HỮU_CHẾ,18,100,1,TRADITIONAL,1.0,active,Thất Sát có chế hóa
TPS003,DIRECT_RESOURCE,Chính Ấn,HỮU_DỤNG,18,95,1,TRADITIONAL,1.0,active,Ấn tinh sinh thân
TPS004,INDIRECT_RESOURCE,Thiên Ấn,HỮU_DỤNG,15,95,1,TRADITIONAL,1.0,active,Thiên Ấn hữu lực
TPS005,DIRECT_WEALTH,Chính Tài,HỮU_DỤNG,18,95,1,TRADITIONAL,1.0,active,Chính Tài phát huy
TPS006,INDIRECT_WEALTH,Thiên Tài,HỮU_DỤNG,16,90,1,TRADITIONAL,1.0,active,Thiên Tài phát huy
TPS007,EATING_GOD,Thực Thần,HỮU_DỤNG,18,95,1,TRADITIONAL,1.0,active,Thực Thần sinh tài
TPS008,HURTING_OFFICER,Thương Quan,HỢP_CÁCH,15,90,1,TRADITIONAL,1.0,active,Thương Quan hợp cách
TPS009,FRIEND,Tỷ Kiên,HỮU_DỤNG,12,85,1,TRADITIONAL,1.0,active,Tỷ Kiên trợ thân
TPS010,ROBBING_WEALTH,Kiếp Tài,HỮU_DỤNG,10,80,1,TRADITIONAL,1.0,active,Kiếp Tài trợ lực
