rule_id,rule_code,rule_group,ten_rule,muc_tieu,dieu_kien_1,dieu_kien_2,dieu_kien_3,dieu_kien_4,dieu_kien_5,ket_qua,diem,muc_do,do_tin_cay,uu_tien,giai_thich,trang_thai
1,TL001,GIU_TIEN,Chính Tài vượng và Thân vượng,Giữ tiền tốt,Chính_Tài=vượng,Thân=vượng,,,,Khả_năng_giữ_tiền=Rất_cao,25,Rất_cao,98,1,Có năng lực tạo và giữ tài sản lâu dài,active
2,TL002,GIU_TIEN,Chính Tài thông căn,Giữ tiền ổn định,Chính_Tài=thông_căn,,,,,Khả_năng_giữ_tiền=Cao,18,Cao,95,2,Nguồn tài ổn định ít biến động,active
3,TL003,GIU_TIEN,Chính Quan sinh Chính Tài,Tăng khả năng tích lũy,Chính_Quan=sinh_Chính_Tài,,,,,Khả_năng_giữ_tiền=Cao,16,Cao,93,3,Thu nhập ổn định giúp tích lũy,active
4,TL004,GIU_TIEN,Dụng thần trợ Tài,Tăng tích lũy,Tài=Tài_Dụng_Thần,,,,,Khả_năng_giữ_tiền=Tăng,18,Cao,94,4,Dụng thần nâng hiệu quả tài chính,active
5,TL005,GIU_TIEN,Ấn sinh Thân rồi giữ Tài,Ổn định tài sản,Ấn=sinh_Thân,Thân=vượng,,,,Khả_năng_giữ_tiền=Cao,15,Cao,91,5,Nội lực mạnh giúp giữ tiền,active
6,TL006,GIU_TIEN,Tài tinh được sinh,Tăng tích lũy,Tài=được_sinh,,,,,Khả_năng_giữ_tiền=Khá,14,Khá,90,6,Tài khí có nguồn hỗ trợ,active
7,TL007,GIU_TIEN,Tài không bị xung,Bảo toàn tài sản,Tài=không_bị_xung,,,,,Khả_năng_giữ_tiền=Cao,14,Khá,90,7,Tài sản ít biến động,active
8,TL008,GIU_TIEN,Tài không bị hợp hóa mất,Giữ tài,Tài=không_bị_hợp_hóa,,,,,Khả_năng_giữ_tiền=Cao,12,Khá,88,8,Không bị thất thoát do hợp hóa,active
9,TL009,GIU_TIEN,Chính Tài gặp Hỷ thần,Tăng tài,Tài=Hỷ_Thần,,,,,Khả_năng_giữ_tiền=Tăng,15,Cao,91,9,Hỷ thần hỗ trợ bảo toàn tài sản,active
10,TL010,GIU_TIEN,Đại vận trợ Tài,Tích lũy thuận lợi,Đại_Vận=sinh_Tài,,,,,Khả_năng_giữ_tiền=Tăng,16,Cao,92,10,Đại vận hỗ trợ tài vận,active
11,TL011,GIU_TIEN,Lưu niên trợ Tài,Tích lũy theo năm,Lưu_Niên=sinh_Tài,,,,,Khả_năng_giữ_tiền=Tăng,8,Trung_bình,86,11,Năm thuận lợi tích lũy,active
12,TL012,GIU_TIEN,Tài tinh nhập khố,Tài sản tích tụ,Tài=nhập_khố,,,,,Khả_năng_giữ_tiền=Rất_cao,18,Cao,92,12,Có khả năng tích trữ tài sản,active
13,TL013,GIU_TIEN,Quan Tài cân bằng,Tài chính ổn định,Quan=vượng,Tài=vượng,,,,Khả_năng_giữ_tiền=Cao,17,Cao,92,13,Công việc và tài chính cân bằng,active
14,TL014,GIU_TIEN,Thực Thần sinh Tài đều,Tăng tích lũy,Thực_Thần=sinh_Tài,,,,,Khả_năng_giữ_tiền=Khá,14,Khá,89,14,Thu nhập đều giúp tích góp,active
15,TL015,GIU_TIEN,Cách cục Tài Quan,Tài sản bền,Tài_Quan_Cách=true,,,,,Khả_năng_giữ_tiền=Rất_cao,22,Rất_cao,96,15,Cách cục thuận lợi về tài sản,active
16,TL016,TICH_LUY,Song Tài đồng hiện,Tích lũy nhiều nguồn,Chính_Tài=tồn_tại,Thiên_Tài=tồn_tại,,,,Khả_năng_tích_lũy=Cao,18,Cao,92,16,Nhiều nguồn thu tạo tích lũy,active
17,TL017,TICH_LUY,Thu nhập lớn chi phí thấp,Dòng tiền dương,Tài>Chi,,,,,Khả_năng_tích_lũy=Rất_cao,20,Cao,95,17,Dòng tiền tích cực,active
18,TL018,TICH_LUY,Tài sinh Quan,Tăng tài sản,Tài=sinh_Quan,,,,,Khả_năng_tích_lũy=Cao,15,Cao,90,18,Địa vị tạo tích lũy,active
19,TL019,TICH_LUY,Tài tinh thông căn,Tài sản bền,Tài=thông_căn,,,,,Khả_năng_tích_lũy=Cao,16,Cao,91,19,Nền tài chính ổn định,active
20,TL020,TICH_LUY,Tài được Tam Hợp,Tích lũy mạnh,Tam_Hợp=Tài_Cục,,,,,Khả_năng_tích_lũy=Cao,16,Cao,90,20,Tam hợp tăng khả năng tích lũy,active
21,TL021,TICH_LUY,Tài được Lục Hợp,Tăng tích lũy,Lục_Hợp=Tài_Cục,,,,,Khả_năng_tích_lũy=Tăng,14,Khá,90,21,Lục Hợp giúp tài khí ổn định,active
22,TL022,TICH_LUY,Tài tinh không bị phá,Bảo toàn tài sản,Tài=Không_Bị_Phá,,,,,Khả_năng_tích_lũy=Cao,15,Cao,91,22,Tài sản ít bị thất thoát,active
23,TL023,TICH_LUY,Kho tài vững,Tích lũy dài hạn,Tài_Khố=Vững,,,,,Khả_năng_tích_lũy=Rất_Cao,18,Cao,93,23,Có nền tảng tích lũy lâu dài,active
24,TL024,TICH_LUY,Dụng thần sinh Tài,Dòng tiền bền,Dụng_Thần=Sinh_Tài,,,,,Khả_năng_tích_lũy=Cao,16,Cao,92,24,Dụng thần hỗ trợ tài vận,active
25,TL025,TICH_LUY,Hỷ thần trợ Tài,Tăng tích góp,Hỷ_Thần=Trợ_Tài,,,,,Khả_năng_tích_lũy=Khá,12,Khá,88,25,Có lợi cho tích lũy tài sản,active
26,TL026,TICH_LUY,Tài không gặp Kiếp,Bảo toàn tiền,Tài=Không_Gặp_Kiếp_Tài,,,,,Khả_năng_tích_lũy=Cao,17,Cao,94,26,Ít bị hao hụt do cạnh tranh,active
