id,tong_chi,tom_tat,luan_giai
1,21,Tiền vận cần kiên trì · hậu vận ổn định dần,Lượng này nghiêng về giai đoạn đầu cần nỗ lực và kiên trì. Thành quả tích lũy rõ hơn ở trung vận và hậu vận nếu giữ nhịp đều.
2,22,Tiền vận cần kiên trì · hậu vận ổn định dần,Lượng này nghiêng về giai đoạn đầu cần nỗ lực và kiên trì. Thành quả tích lũy rõ hơn ở trung vận và hậu vận nếu giữ nhịp đều.
3,23,Tiền vận cần kiên trì · hậu vận ổn định dần,Lượng này nghiêng về giai đoạn đầu cần nỗ lực và kiên trì. Thành quả tích lũy rõ hơn ở trung vận và hậu vận nếu giữ nhịp đều.
4,24,Tiền vận cần kiên trì · hậu vận ổn định dần,Lượng này nghiêng về giai đoạn đầu cần nỗ lực và kiên trì. Thành quả tích lũy rõ hơn ở trung vận và hậu vận nếu giữ nhịp đều.
5,25,Tiền vận cần kiên trì · hậu vận ổn định dần,Lượng này nghiêng về giai đoạn đầu cần nỗ lực và kiên trì. Thành quả tích lũy rõ hơn ở trung vận và hậu vận nếu giữ nhịp đều.
6,26,Tiền vận cần kiên trì · hậu vận ổn định dần,Lượng này nghiêng về giai đoạn đầu cần nỗ lực và kiên trì. Thành quả tích lũy rõ hơn ở trung vận và hậu vận nếu giữ nhịp đều.
7,27,Tiền vận cần kiên trì · hậu vận ổn định dần,Lượng này nghiêng về giai đoạn đầu cần nỗ lực và kiên trì. Thành quả tích lũy rõ hơn ở trung vận và hậu vận nếu giữ nhịp đều.
8,28,Tiền vận cần kiên trì · hậu vận ổn định dần,Lượng này nghiêng về giai đoạn đầu cần nỗ lực và kiên trì. Thành quả tích lũy rõ hơn ở trung vận và hậu vận nếu giữ nhịp đều.
9,29,Tiền vận cần kiên trì · hậu vận ổn định dần,Lượng này nghiêng về giai đoạn đầu cần nỗ lực và kiên trì. Thành quả tích lũy rõ hơn ở trung vận và hậu vận nếu giữ nhịp đều.
10,30,Tiền vận cần kiên trì · hậu vận ổn định dần,Lượng này nghiêng về giai đoạn đầu cần nỗ lực và kiên trì. Thành quả tích lũy rõ hơn ở trung vận và hậu vận nếu giữ nhịp đều.
11,31,Tiền vận cần kiên trì · hậu vận ổn định dần,Lượng này nghiêng về giai đoạn đầu cần nỗ lực và kiên trì. Thành quả tích lũy rõ hơn ở trung vận và hậu vận nếu giữ nhịp đều.
12,32,Nền tảng vừa phải · tích lũy theo thời gian,Lượng ở mức trung. Cơ hội đến khi làm việc có phương pháp. Không nên kỳ vọng đột biến; ưu tiên tích lũy bền.
13,33,Nền tảng vừa phải · tích lũy theo thời gian,Lượng ở mức trung. Cơ hội đến khi làm việc có phương pháp. Không nên kỳ vọng đột biến; ưu tiên tích lũy bền.
14,34,Nền tảng vừa phải · tích lũy theo thời gian,Lượng ở mức trung. Cơ hội đến khi làm việc có phương pháp. Không nên kỳ vọng đột biến; ưu tiên tích lũy bền.
15,35,Nền tảng vừa phải · tích lũy theo thời gian,Lượng ở mức trung. Cơ hội đến khi làm việc có phương pháp. Không nên kỳ vọng đột biến; ưu tiên tích lũy bền.
16,36,Nền tảng vừa phải · tích lũy theo thời gian,Lượng ở mức trung. Cơ hội đến khi làm việc có phương pháp. Không nên kỳ vọng đột biến; ưu tiên tích lũy bền.
17,37,Nền tảng vừa phải · tích lũy theo thời gian,Lượng ở mức trung. Cơ hội đến khi làm việc có phương pháp. Không nên kỳ vọng đột biến; ưu tiên tích lũy bền.
18,38,Nền tảng vừa phải · tích lũy theo thời gian,Lượng ở mức trung. Cơ hội đến khi làm việc có phương pháp. Không nên kỳ vọng đột biến; ưu tiên tích lũy bền.
19,39,Nền tảng vừa phải · tích lũy theo thời gian,Lượng ở mức trung. Cơ hội đến khi làm việc có phương pháp. Không nên kỳ vọng đột biến; ưu tiên tích lũy bền.
20,40,Nền tảng vừa phải · tích lũy theo thời gian,Lượng ở mức trung. Cơ hội đến khi làm việc có phương pháp. Không nên kỳ vọng đột biến; ưu tiên tích lũy bền.
21,41,Nền tảng vừa phải · tích lũy theo thời gian,Lượng ở mức trung. Cơ hội đến khi làm việc có phương pháp. Không nên kỳ vọng đột biến; ưu tiên tích lũy bền.
22,42,Nền tảng vừa phải · tích lũy theo thời gian,Lượng ở mức trung. Cơ hội đến khi làm việc có phương pháp. Không nên kỳ vọng đột biến; ưu tiên tích lũy bền.
