rule_id,condition_if,condition_and,action,module_target,score,priority,continue
RE001,Thực Thần Vượng,,Tăng điểm Tử Tức,10_tu_tuc,20,100,TRUE
RE002,Thực Thần Đắc Lệnh,,Tăng điểm Tử Tức,10_tu_tuc,30,100,TRUE
RE003,Thương Quan Quá Vượng,,Giảm điểm Tử Tức,10_tu_tuc,-20,95,TRUE
RE004,Hợp Thời Chi,,Tăng điểm Tử Tức,10_tu_tuc,20,95,TRUE
RE005,Xung Thời Chi,,Giảm điểm Tử Tức,10_tu_tuc,-30,100,TRUE
RE006,Thiên Đức,Nguyệt Đức,Tăng điểm Tử Tức,10_tu_tuc,30,95,TRUE
RE007,Văn Xương,,Tăng điểm Con Cái Học Hành,10_tu_tuc,20,85,TRUE
RE008,Quốc Ấn,,Tăng điểm Công Danh Con Cái,10_tu_tuc,20,85,TRUE
RE009,Lộc Thần,,Tăng điểm Tài Lộc Con Cái,10_tu_tuc,20,85,TRUE
RE010,Cô Thần,,Giảm điểm Quan Hệ Gia Đình,10_tu_tuc,-20,100,TRUE
RE011,Quả Tú,,Giảm điểm Tử Tức,10_tu_tuc,-20,100,TRUE
RE012,Bạch Hổ,,Sinh Cảnh Báo Sức Khỏe,10_tu_tuc,-20,95,TRUE
RE013,Kiếp Sát,,Sinh Cảnh Báo Biến Động,10_tu_tuc,-20,90,TRUE
RE014,Điểm >= 80,,Kết luận Rất Tốt,REPORT,0,100,FALSE
RE015,Điểm >= 60,,Kết luận Tốt,REPORT,0,95,FALSE
RE016,Điểm >= 40,,Kết luận Trung Bình,REPORT,0,90,FALSE
RE017,Điểm < 40,,Kết luận Cần Theo Dõi,REPORT,0,100,FALSE
RE018,Hoàn thành đánh giá,,Xuất Báo Cáo Tổng Hợp,REPORT,0,100,FALSE
