rule_id,rule_code,ten_rule,muc_tieu,dieu_kien_1,dieu_kien_2,dieu_kien_3,dieu_kien_4,dieu_kien_5,ket_qua,diem,muc_do,do_tin_cay,uu_tien,giai_thich,trang_thai
1,NT001,Chính Tài vượng,Thu nhập ổn định,Chính_Tài=vượng,Thân>=cân_bằng,Dụng_thần!=Chính_Tài,,,Nguồn_thu=Lương,20,Cao,95,1,Thu nhập chính ổn định,active
2,NT002,Thiên Tài vượng,Thu nhập phụ,Thiên_Tài=vượng,Thân>=cân_bằng,,,,Nguồn_thu=Kinh_doanh,18,Cao,90,2,Có khả năng tạo nguồn thu ngoài nghề chính,active
3,NT003,Thực Thần sinh Chính Tài,Nghề chuyên môn,Thực_Thần=sinh_Chính_Tài,Thân>=cân_bằng,,,,Nguồn_thu=Chuyên_môn,18,Cao,92,3,Thu nhập từ chuyên môn và tay nghề,active
4,NT004,Thương Quan sinh Thiên Tài,Kinh doanh,Thương_Quan=sinh_Thiên_Tài,Thân=vượng,,,,Nguồn_thu=Kinh_doanh,20,Cao,93,4,Hợp kinh doanh và bán hàng,active
5,NT005,Song Tài đồng hiện,Đa nguồn thu,Chính_Tài=tồn_tại,Thiên_Tài=tồn_tại,Thân>=cân_bằng,,,Nguồn_thu=Đa_nguồn,22,Rất_cao,95,5,Có nhiều nguồn thu nhập,active
6,NT006,Chính Tài là Dụng thần,Tài vận mạnh,Chính_Tài=Dụng_thần,,,,,Nguồn_thu=Tăng_mạnh,25,Rất_cao,98,6,Tài tinh phát huy tối đa,active
7,NT007,Thiên Tài là Dụng thần,Đầu tư hiệu quả,Thiên_Tài=Dụng_thần,,,,,Nguồn_thu=Đầu_tư,24,Rất_cao,96,7,Hợp đầu tư và kinh doanh,active
8,NT008,Đại vận trợ Tài,Chu kỳ phát tài,Đại_vận=sinh_Tài,,,,,Nguồn_thu=Tăng,18,Cao,92,8,Đại vận hỗ trợ tài vận,active
9,NT009,Lưu niên trợ Tài,Tài vận năm,Lưu_niên=sinh_Tài,,,,,Nguồn_thu=Tăng_ngắn_hạn,10,Trung_bình,88,9,Năm có cơ hội tăng thu nhập,active
10,NT010,Tài tinh được sinh,Tăng trưởng,Tài_tinh=được_sinh,Thân>=cân_bằng,,,,Nguồn_thu=Ổn_định,15,Khá,90,10,Tài tinh có nguồn sinh trợ,active
11,NT011,Chính Quan sinh Chính Tài,Lương chức vụ,Chính_Quan=vượng,Chính_Tài=vượng,,,,Nguồn_thu=Quản_lý,18,Cao,92,11,Thu nhập từ chức vụ quản lý,active
12,NT012,Chính Ấn sinh Thân rồi sinh Tài,Nền tảng vững,Chính_Ấn=sinh_Thân,Thân=vượng,Tài_tinh=vượng,,,Nguồn_thu=Bền_vững,20,Cao,95,12,Nền tảng ổn định tạo tài lâu dài,active
13,NT013,Thiên Ấn trợ Thân,Tăng năng lực kiếm tiền,Thiên_Ấn=sinh_Thân,Thân>=cân_bằng,,,,Nguồn_thu=Cải_thiện,10,Trung_bình,86,13,Nâng cao năng lực tạo thu nhập,active
14,NT014,Thực Thần vượng,Nghề dịch vụ,Thực_Thần=vượng,,,,,Nguồn_thu=Dịch_vụ,15,Khá,90,14,Thu nhập từ dịch vụ và sáng tạo,active
15,NT015,Thương Quan vượng,Buôn bán,Thương_Quan=vượng,,,,,Nguồn_thu=Thương_mại,15,Khá,88,15,Hợp thương mại và bán hàng,active
16,NT016,Thiên Tài phối Thương Quan,Kinh doanh lớn,Thiên_Tài=vượng,Thương_Quan=vượng,,,,Nguồn_thu=Doanh_nghiệp,22,Rất_cao,94,16,Có tố chất doanh nhân,active
17,NT017,Chính Tài phối Chính Quan,Công việc ổn định,Chính_Tài=vượng,Chính_Quan=vượng,,,,Nguồn_thu=Công_chức,18,Cao,92,17,Thu nhập ổn định lâu dài,active
18,NT018,Tài tinh gặp Hỷ thần,Tăng tài,Tài_tinh=Hỷ_thần,,,,,Nguồn_thu=Thuận_lợi,15,Khá,90,18,Hỷ thần thúc đẩy tài vận,active
19,NT019,Tài tinh được Tam Hợp,Hợp tác sinh tài,Tam_Hợp=Tài_Cục,,,,,Nguồn_thu=Hợp_tác,18,Cao,91,19,Hợp tác tạo lợi nhuận,active
20,NT020,Tài tinh được Lục Hợp,Thu nhập ổn định,Lục_Hợp=Tài,,,,,Nguồn_thu=Ổn_định,12,Khá,88,20,Các quan hệ hỗ trợ tài chính,active
