rule_id,than_sat,dieu_kien,pham_vi,linh_vuc,anh_huong,diem,uu_tien,co_the_cong_don,ghi_chu
RCT001,Thiên Ất Quý Nhân,Kích hoạt thành công,Tứ Trụ,Quý nhân,+,30,100,TRUE,Được quý nhân giúp đỡ
RCT002,Văn Xương,Kích hoạt thành công,Tứ Trụ,Học nghiệp,+,25,95,TRUE,Thông minh học hành
RCT003,Quốc Ấn,Kích hoạt thành công,Tứ Trụ,Công danh,+,25,95,TRUE,Có quyền chức
RCT004,Lộc Thần,Kích hoạt thành công,Tứ Trụ,Tài vận,+,25,95,TRUE,Tăng tài lộc
RCT005,Hồng Loan,Kích hoạt thành công,Tứ Trụ,Hôn nhân,+,20,90,TRUE,Tăng duyên tình cảm
RCT006,Thiên Hỷ,Kích hoạt thành công,Tứ Trụ,Hỷ sự,+,20,90,TRUE,Dễ có hỷ sự
RCT007,Đào Hoa,Kích hoạt thành công,Tứ Trụ,Giao tiếp,+,15,85,TRUE,Tăng sức hút
RCT008,Hàm Trì,Kích hoạt thành công,Tứ Trụ,Tình cảm,+,10,80,FALSE,Tăng cảm xúc
RCT009,Dịch Mã,Kích hoạt thành công,Tứ Trụ,Sự nghiệp,+,20,90,TRUE,Đi xa thay đổi
RCT010,Hoa Cái,Kích hoạt thành công,Tứ Trụ,Nghệ thuật,+,15,80,FALSE,Năng khiếu nghệ thuật
RCT011,Thiên Đức,Kích hoạt thành công,Tứ Trụ,Phúc đức,+,20,95,TRUE,Hóa giải hung tinh
RCT012,Nguyệt Đức,Kích hoạt thành công,Tứ Trụ,Phúc đức,+,20,95,TRUE,Hóa giải tai họa
RCT013,Long Đức,Kích hoạt thành công,Tứ Trụ,Phúc khí,+,15,90,TRUE,Tăng vận may
