id,doi_tuong,muc_do,mau_giai_thich,goi_y,uu_tien
GT001,Thực Thần,Cát,"Thực Thần vượng cho thấy đường con cái thuận lợi, dễ sinh con và con cái hiếu thuận.","Nên tạo môi trường giáo dục tốt để phát huy tiềm năng của con.",100
GT002,Thương Quan,Cát,"Thương Quan phát huy đúng mức giúp con cái năng động, sáng tạo và có tư duy độc lập.","Khuyến khích phát triển năng khiếu nhưng cần định hướng đúng.",90
GT003,Thời Trụ,Cát,"Thời Trụ ổn định phản ánh nền tảng tử tức khá tốt, quan hệ cha mẹ và con cái hài hòa.","Quan tâm nhiều hơn đến việc đồng hành cùng con.",95
GT004,Văn Xương,Cát,"Văn Xương xuất hiện là dấu hiệu con cái có năng lực học tập và tư duy tốt.","Đầu tư vào giáo dục sẽ mang lại kết quả tích cực.",90
GT005,Quốc Ấn,Cát,"Quốc Ấn cho thấy con cái có khả năng đạt địa vị hoặc thành tựu trong công việc.","Khuyến khích phát triển năng lực lãnh đạo.",85
GT006,Lộc Thần,Cát,"Lộc Thần mang lại phúc khí và tài lộc cho con cái.","Giữ môi trường gia đình ổn định để phát huy vận tốt.",85
GT007,Thiên Đức,Cát,"Thiên Đức giúp hóa giải nhiều bất lợi liên quan đến đường con cái.","Có thể giảm nhẹ các yếu tố hung trong lá số.",90
GT008,Nguyệt Đức,Cát,"Nguyệt Đức hỗ trợ tăng phúc đức và sự bình an cho con cái.","Nên tích đức và làm việc thiện.",90
GT009,Cô Thần,Hung,"Cô Thần làm tăng khoảng cách tình cảm giữa cha mẹ và con cái.","Chủ động chia sẻ và dành nhiều thời gian cho gia đình.",100
GT010,Quả Tú,Hung,"Quả Tú báo hiệu đường con cái đến muộn hoặc việc nuôi dạy gặp nhiều thử thách.","Không nên quá lo lắng nếu thời vận chưa thuận.",100
GT011,Bạch Hổ,Hung,"Bạch Hổ nhắc nhở cần quan tâm nhiều hơn đến sức khỏe và an toàn của con cái.","Theo dõi sức khỏe định kỳ và hạn chế rủi ro.",95
GT012,Kiếp Sát,Hung,"Kiếp Sát có thể làm tăng biến động trong quan hệ gia đình.","Giữ bình tĩnh khi giải quyết mâu thuẫn.",90
GT013,Hợp Thời Chi,Cát,"Thời Chi được hợp giúp gia đình hòa thuận và con cái dễ gắn bó với cha mẹ.","Phát huy truyền thống gia đình.",90
GT014,Xung Thời Chi,Hung,"Thời Chi bị xung cho thấy quan hệ cha mẹ - con cái dễ phát sinh bất đồng.","Cần tăng cường giao tiếp và thấu hiểu.",100
GT015,Tổng Hợp Tử Tức,Rất Cát,"Các yếu tố tử tức phối hợp hài hòa, đường con cái có nhiều triển vọng tốt.","Tiếp tục duy trì môi trường gia đình tích cực.",100
