id,rule_code,star_name,condition,score,priority,max_apply,school,version,status,description
PSS001,TIAN_YI,Thiên Ất Quý Nhân,Hiện diện,12,90,2,TRADITIONAL,1.0,active,Quý nhân phù trợ
PSS002,WEN_CHANG,Văn Xương,Hiện diện,10,85,2,TRADITIONAL,1.0,active,Học vấn và trí tuệ
PSS003,WEN_QU,Văn Khúc,Hiện diện,10,85,2,TRADITIONAL,1.0,active,Năng khiếu nghệ thuật
PSS004,GUO_YIN,Quốc Ấn,Hiện diện,12,90,1,TRADITIONAL,1.0,active,Uy tín và quyền lực
PSS005,FU_XING,Phúc Tinh Quý Nhân,Hiện diện,10,85,2,TRADITIONAL,1.0,active,Gia tăng phúc khí
PSS006,YUE_DE,Nguyệt Đức Quý Nhân,Hiện diện,12,90,2,TRADITIONAL,1.0,active,Hóa giải hung họa
PSS007,TIAN_DE,Thiên Đức Quý Nhân,Hiện diện,12,90,2,TRADITIONAL,1.0,active,Tăng cát giảm hung
PSS008,HONG_LUAN,Hồng Loan,Hiện diện,8,80,2,TRADITIONAL,1.0,active,Nhân duyên tốt
PSS009,TIAN_XI,Thiên Hỷ,Hiện diện,8,80,2,TRADITIONAL,1.0,active,Tin vui và hỷ sự
PSS010,HUA_GAI,Hoa Cái,Hiện diện,8,80,2,TRADITIONAL,1.0,active,Nghệ thuật và tâm linh
