ma_danh_muc,ten_danh_muc,ho_so_rui_ro,bat_dong_san,co_phieu,kinh_doanh,vang,quy_dau_tu,trai_phieu,tien_mat,tai_san_khac,muc_rui_ro,ky_vong_loi_nhuan,thoi_gian_nam_giu,thanh_khoan,doi_tuong_phu_hop,ghi_chu,trang_thai
PB01,Danh mục tăng trưởng Bất động sản,Mao_Hiem,40,15,25,10,0,0,10,0,Cao,Rat_Cao,Dai_Han,Trung_Binh,Nhà đầu tư tăng trưởng,Tập trung tài sản hữu hình,active
PB02,Danh mục tăng trưởng Kinh doanh,Mao_Hiem,15,25,40,10,0,0,10,0,Cao,Rat_Cao,Dai_Han,Trung_Binh,Nhà đầu tư chủ động,Ưu tiên mở rộng doanh nghiệp,active
PB03,Danh mục Kim loại quý,Mao_Hiem,15,20,15,40,0,0,10,0,Cao,Cao,Dai_Han,Cao,Nhà đầu tư tích sản,Tăng tỷ trọng vàng và kim loại quý,active
PB04,Danh mục Logistics,Mao_Hiem,15,20,35,10,10,0,10,0,Cao,Rat_Cao,Dai_Han,Trung_Binh,Nhà đầu tư theo chu kỳ,Ưu tiên thương mại và logistics,active
PB05,Danh mục Nông nghiệp,Mao_Hiem,20,10,35,5,10,0,20,0,Cao,Cao,Dai_Han,Trung_Binh,Nhà đầu tư phát triển bền vững,Tập trung nông nghiệp và giáo dục,active
PB06,Danh mục cân bằng,Can_Bang,30,20,15,15,10,0,10,0,Trung_Binh,Cao,Dai_Han,Cao,Đa số nhà đầu tư,Cân bằng tăng trưởng và phòng thủ,active
PB07,Danh mục cân bằng tăng trưởng,Can_Bang,25,30,20,10,5,0,10,0,Trung_Binh,Cao,Dai_Han,Cao,Nhà đầu tư có kinh nghiệm,Tăng tỷ trọng cổ phiếu,active
PB08,Danh mục đa dạng hóa,Can_Bang,20,20,20,15,15,0,10,0,Trung_Binh,Cao,Dai_Han,Cao,Nhà đầu tư dài hạn,Đa dạng hóa nhiều nhóm tài sản,active
PB09,Danh mục phòng thủ,Than_Trong,25,10,10,30,10,5,10,0,Thap,Trung_Binh,Dai_Han,Rat_Cao,Nhà đầu tư thận trọng,Tăng vàng và trái phiếu,active
PB10,Danh mục bảo toàn vốn,Than_Trong,15,10,5,30,10,10,20,0,Thap,Thap,Dai_Han,Rat_Cao,Ưu tiên an toàn,Tăng tiền mặt và tài sản phòng thủ,active
PB11,Danh mục tiền mặt,Rat_Than_Trong,0,0,0,20,0,20,60,0,Rat_Thap,Thap,Ngan_Han,Rat_Cao,Giai đoạn rủi ro cao,Giữ thanh khoản tối đa,active
PB12,Danh mục theo lưu niên,Tang_Truong,20,30,20,10,10,0,10,0,Trung_Binh,Cao,Trung_Han,Cao,Đầu tư theo chu kỳ năm,Tăng tỷ trọng trong năm thuận lợi,active
PB13,Danh mục theo Dụng thần,Tang_Truong,25,20,25,10,10,0,10,0,Trung_Binh,Cao,Dai_Han,Cao,Đầu tư theo Bát Tự,Phân bổ theo Dụng thần,active
PB14,Danh mục phòng thủ nâng cao,Rat_Than_Trong,10,5,5,40,10,10,20,0,Rat_Thap,Thap,Dai_Han,Rat_Cao,Giai đoạn bất lợi,Hạn chế biến động danh mục,active
PB15,Danh mục bảo toàn tuyệt đối,Rat_Than_Trong,10,0,0,35,5,20,30,0,Rat_Thap,Rat_Thap,Ngan_Han,Rat_Cao,Khủng hoảng tài chính,Ưu tiên giữ vốn,active
PB16,Danh mục chủ động,Xuat_Sac,30,25,25,10,5,0,5,0,Cao,Rat_Cao,Dai_Han,Trung_Binh,Nhà đầu tư chuyên nghiệp,Chủ động tối ưu lợi nhuận,active
PB17,Danh mục an toàn,Than_Trong,20,10,10,25,10,10,15,0,Thap,Trung_Binh,Dai_Han,Cao,Nhà đầu tư mới,Học và tích lũy kinh nghiệm,active
PB18,Danh mục chu kỳ thuận lợi,Tang_Truong,30,30,20,10,0,0,10,0,Cao,Rat_Cao,Dai_Han,Trung_Binh,Đại vận và Lưu niên thuận lợi,Mở rộng danh mục theo chu kỳ,active
PB19,Danh mục phòng thủ chu kỳ,Rat_Than_Trong,10,5,5,35,10,15,20,0,Rat_Thap,Thap,Trung_Han,Rat_Cao,Chu kỳ bất lợi,Giảm thiểu rủi ro toàn diện,active
PB20,Danh mục tối ưu toàn diện,Tang_Truong,30,25,20,10,5,0,10,0,Cao,Rat_Cao,Dai_Han,Cao,Hội đủ điều kiện thuận lợi,Danh mục chuẩn cho hồ sơ đầu tư mạnh,active
