rule_id,ten_god,element_relation,status,condition,title,personality,career,wealth,relationship,warning,recommendation,score

TG001,Tỷ Kiên,Cùng Ngũ Hành,Cân bằng,ty_kien_balance=true,Tỷ Kiên cân bằng,"Có tinh thần độc lập, tự chủ, có năng lực cạnh tranh và ý chí mạnh","Kinh doanh độc lập, quản lý, lĩnh vực cần bản lĩnh cá nhân","Có khả năng tự tạo tài sản bằng năng lực bản thân","Tôn trọng sự bình đẳng trong quan hệ","Cần tránh quá đề cao cái tôi","Phát huy tính độc lập nhưng cần biết hợp tác",75

TG002,Tỷ Kiên,Cùng Ngũ Hành,Vượng,ty_kien>2,Tỷ Kiên quá mạnh,"Cá tính mạnh, thích tự quyết, không thích phụ thuộc","Phù hợp khởi nghiệp nhưng cần quản lý đội nhóm","Dễ giữ tài nhưng cũng dễ cạnh tranh tiền bạc","Trong quan hệ dễ xảy ra tranh chấp vì cái tôi","Dễ gặp cạnh tranh, hao tài do bạn bè","Cần học cách chia sẻ và hợp tác",60

TG003,Kiếp Tài,Cùng Ngũ Hành,Vượng,kiep_tai>2,Kiếp Tài mạnh,"Năng động, quyết đoán, thích thử thách, quan hệ rộng","Kinh doanh, thương mại, môi trường cạnh tranh","Có khả năng tạo tiền nhanh nhưng biến động lớn","Quan hệ xã hội mạnh nhưng dễ phát sinh mâu thuẫn","Cần chú ý đầu tư nóng và hao tài","Cần kiểm soát rủi ro tài chính",55

TG004,Thực Thần,Sinh Xuất,Cân bằng,thuc_than_balance=true,Thực Thần hữu lực,"Tư duy sáng tạo, hưởng thụ, có khả năng biểu đạt tốt","Ẩm thực, nghệ thuật, giáo dục, sáng tạo","Tài vận đến từ năng lực tạo giá trị","Tính cách ôn hòa, biết chăm sóc người khác","Dễ an nhàn quá mức","Phát huy tài năng sáng tạo thành sản phẩm",85

TG005,Thực Thần,Sinh Xuất,Vượng,thuc_than>2,Thực Thần quá mạnh,"Thông minh, yêu cuộc sống, nhiều ý tưởng","Nghề sáng tạo, nội dung, kinh doanh dịch vụ","Có khả năng tạo nguồn thu ổn định","Tình cảm tốt, biết quan tâm","Dễ thiếu áp lực phát triển","Cần tăng tính kỷ luật và mục tiêu",70

TG006,Thương Quan,Sinh Xuất,Vượng,thuong_quan>2,Thương Quan mạnh,"Tư duy khác biệt, thông minh, thích phá cách","Nghiên cứu, sáng tạo, kinh doanh, truyền thông","Có khả năng tạo tài lộc từ trí tuệ","Cá tính mạnh trong tình cảm","Dễ xung đột với quy tắc hoặc cấp trên","Cần kết hợp sự sáng tạo với kỷ luật",65

TG007,Chính Tài,Khắc Xuất,Cân bằng,chinh_tai_balance=true,Chính Tài ổn định,"Thực tế, coi trọng trách nhiệm, biết tích lũy","Tài chính, kinh doanh ổn định, quản lý","Khả năng tích lũy tài sản tốt","Coi trọng gia đình và trách nhiệm","Dễ quá coi trọng vật chất","Duy trì sự cân bằng giữa tiền bạc và tình cảm",88

TG008,Chính Tài,Vượng,chinh_tai>2,Chính Tài mạnh,"Có năng lực quản lý tài chính, trọng thực tế","Kinh doanh truyền thống, tài chính, quản trị","Khả năng tích lũy và bảo toàn tài sản tốt","Gia đình thường là động lực phát triển","Có thể bị áp lực trách nhiệm","Cần linh hoạt trong đầu tư",82

TG009,Thiên Tài,Khắc Xuất,Vượng,thien_tai>2,Thiên Tài mạnh,"Nhanh nhạy, thích cơ hội, giỏi giao tiếp","Kinh doanh, đầu tư, thương mại","Có duyên với cơ hội tài chính nhưng biến động","Quan hệ rộng, thích giao lưu","Dễ chạy theo cơ hội ngắn hạn","Cần quản lý rủi ro và kế hoạch dài hạn",80

TG010,Chính Quan,Khắc Nhập,Cân bằng,chinh_quan_balance=true,Chính Quan tốt,"Có trách nhiệm, nguyên tắc, tôn trọng luật lệ","Cơ quan, quản lý, pháp luật, tổ chức lớn","Tài vận đến từ vị trí và uy tín","Quan hệ nghiêm túc, coi trọng trách nhiệm","Dễ tự gây áp lực","Phát huy năng lực quản lý và uy tín cá nhân",85

TG011,Thất Sát,Khắc Nhập,Vượng,that_sat>2,Thất Sát mạnh,"Quyết đoán, chịu áp lực cao, có tinh thần chiến đấu","Lãnh đạo, quân sự, kinh doanh cạnh tranh","Có khả năng tạo thành tựu lớn trong môi trường áp lực","Tính cách mạnh trong quan hệ","Dễ nóng, áp lực cao","Cần dùng Ấn để hóa Sát, rèn luyện sự bình tĩnh",75

TG012,Chính Ấn,Sinh Nhập,Cân bằng,chinh_an_balance=true,Chính Ấn hữu lực,"Thông minh, ham học, coi trọng tri thức","Giáo dục, nghiên cứu, tư vấn, chuyên môn","Tài vận đến từ tri thức và chuyên môn","Được quý nhân hỗ trợ","Dễ thiên về lý thuyết","Cần kết hợp tri thức với hành động",86

TG013,Thiên Ấn,Sinh Nhập,Vượng,thien_an>2,Thiên Ấn mạnh,"Tư duy đặc biệt, trực giác tốt, thích nghiên cứu sâu","Huyền học, nghiên cứu, kỹ thuật, tư vấn","Có tài năng đặc biệt nhưng thu nhập không đều","Tình cảm cần sự thấu hiểu","Dễ cô lập hoặc suy nghĩ nhiều","Cần đưa tri thức vào ứng dụng thực tế",78
