rule_id,dieu_kien,ket_qua,phan_loai,diem,uu_tien,trang_thai,ghi_chu
CH001,Thực Thần vượng,Con cái đông đủ,Cát,20,100,ACTIVE,Thực Thần là Tử Tức tinh chủ đạo
CH002,Thực Thần đắc lệnh,Con cái hiếu thuận,Rất Cát,30,100,ACTIVE,Con cái phát triển tốt
CH003,Thực Thần + Văn Xương,Con học giỏi,Rất Cát,30,95,ACTIVE,Học hành thuận lợi
CH004,Thực Thần + Quốc Ấn,Con có công danh,Rất Cát,30,95,ACTIVE,Có địa vị xã hội
CH005,Thực Thần + Lộc Thần,Con có tài lộc,Cát,20,90,ACTIVE,Con dễ thành công tài chính
CH006,Thiên Ất + Thiên Đức,Con được quý nhân,Cát,20,90,ACTIVE,Gặp nhiều may mắn
CH007,Thiên Đức + Nguyệt Đức,Hóa giải hung,Rất Cát,30,95,ACTIVE,Giảm ảnh hưởng bất lợi
CH008,Hợp Thời Chi,Gia đình hòa thuận,Cát,20,100,ACTIVE,Quan hệ cha mẹ con tốt
CH009,Dụng Thần hỗ trợ Thời Trụ,Con trợ vận cha mẹ,Cát,20,90,ACTIVE,Tăng phúc khí
CH010,Hỷ Thần hỗ trợ Tử Tức,Có tin vui con cái,Khá Cát,10,80,ACTIVE,Tăng cát khí
CH011,Hoa Cái + Văn Xương,Con có năng khiếu,Cát,20,85,ACTIVE,Nghệ thuật học thuật
CH012,Dịch Mã + Lộc Thần,Con lập nghiệp xa,Rất Cát,30,80,ACTIVE,Thành công nơi xa
CH013,Thực Thần + Thiên Ất + Văn Xương,Con tài đức song toàn,Rất Cát,30,100,ACTIVE,Tổ hợp cát mạnh
CH014,Thời Trụ không xung không hại,Cung tử tức ổn định,Cát,20,95,ACTIVE,Nền tảng tốt
CH015,Tổng điểm cát ≥ 80,Tử tức rất tốt,Rất Cát,30,100,ACTIVE,Kết luận tổng hợp
