rule_id,fengshui_type,condition,element,direction,environment,color,application,warning,recommendation,score

FS001,Dụng Thần Phong Thủy,dung_than=Moc,Mộc,Đông/Đông Nam,Nơi nhiều cây xanh, sinh khí phát triển,Xanh lá, gỗ tự nhiên,Tăng yếu tố Mộc trong không gian sống,"Không nên lạm dụng Mộc khi Mộc đã quá vượng",Bố trí cây xanh, không gian học tập, phát triển tri thức,90

FS002,Dụng Thần Phong Thủy,dung_than=Hoa,Hỏa,Nam,Nơi nhiều ánh sáng, năng lượng hoạt động mạnh,Đỏ, cam, tím,Ánh sáng, đèn, vật dụng tạo nhiệt khí,"Tránh tăng Hỏa quá mức gây nóng và mất cân bằng",Tăng ánh sáng tự nhiên, hoạt động năng động,88

FS003,Dụng Thần Phong Thủy,dung_than=Tho,Thổ,Tây Nam/Đông Bắc,Nơi ổn định, nền tảng vững chắc,Vàng, nâu, be,Đất đá tự nhiên, gốm, vật phẩm Thổ,"Không nên tạo không gian quá nặng nề",Tăng sự ổn định, tích lũy và nền tảng gia đình,86

FS004,Dụng Thần Phong Thủy,dung_than=Kim,Kim,Tây/Tây Bắc,Không gian gọn gàng, trật tự,Kim trắng, bạc, xám,Kim loại, thiết bị hiện đại,"Tránh môi trường quá lạnh hoặc cứng",Tăng tính kỷ luật, tổ chức và hiệu suất làm việc,87

FS005,Dụng Thần Phong Thủy,dung_than=Thuy,Thủy,Bắc,Gần nước, không gian linh hoạt, di chuyển tốt,Đen, xanh dương,Nước, kính, yếu tố lưu động,"Không nên dùng quá nhiều Thủy khi Thủy đã vượng",Tăng khả năng giao tiếp, thông tin và kết nối,85


FS006,Hóa Giải Kỵ Thần,ky_than=Moc,Mộc,Điều chỉnh giảm Đông quá mạnh,Giảm yếu tố Mộc dư thừa,Trung tính,Giảm cây quá nhiều, tránh rậm rạp,"Không loại bỏ hoàn toàn Mộc",Dùng hành khắc chế phù hợp theo Dụng Thần,70

FS007,Hóa Giải Kỵ Thần,ky_than=Hoa,Hỏa,Giảm Hỏa quá mạnh,Không gian mát và cân bằng,Giảm đỏ cam quá nhiều,Hạn chế vật dụng nhiệt, ánh sáng quá mạnh,"Không làm mất hoàn toàn sinh khí",Tăng yếu tố điều hòa như Thủy hoặc Kim,70

FS008,Hóa Giải Kỵ Thần,ky_than=Tho,Thổ,Giảm sự trì trệ,Không gian thông thoáng,Sử dụng màu trung tính,Hạn chế vật nặng, quá nhiều đất đá,"Không tạo cảm giác bất ổn",Tăng sự lưu thông và thay đổi,70

FS009,Hóa Giải Kỵ Thần,ky_than=Kim,Kim,Giảm tính cứng,Không gian mềm mại hơn,Gia tăng màu ấm,Hạn chế kim loại lạnh quá mức,"Không làm mất tính tổ chức",Tăng yếu tố cân bằng bằng Mộc hoặc Hỏa,70

FS010,Hóa Giải Kỵ Thần,ky_than=Thuy,Thủy,Giảm Thủy dư,Không gian khô ráo, ổn định,Giảm màu tối,Hạn chế nước quá nhiều trong nhà,"Không làm mất sự linh hoạt",Tăng Thổ để tạo cân bằng,70


FS011,Phòng Làm Việc,dung_than=true,Theo Dụng Thần,Theo hành phù hợp,Bàn làm việc hỗ trợ năng lượng cá nhân,Màu theo Dụng Thần,Bố trí bàn làm việc theo ngũ hành,"Không dùng vật phẩm chỉ vì hình thức",Ưu tiên sự phù hợp tổng thể với mệnh cục,90

FS012,Nghề Nghiệp Phong Thủy,career_element=true,Theo ngành nghề,Theo ngũ hành nghề nghiệp,Môi trường làm việc phù hợp,Màu ngành nghề,Văn phòng và thương hiệu theo ngũ hành,"Không áp dụng máy móc",Kết hợp Bát Tự và thực tế nghề nghiệp,85

FS013,Nhà Ở,dung_than_support=true,Theo Dụng/Hỷ Thần,Hướng hỗ trợ khí vận,Môi trường sinh hoạt lâu dài,Màu sắc hỗ trợ,Bố trí nhà theo nguyên tắc cân bằng,"Không chỉ chọn hướng mà bỏ qua bố cục tổng thể",Xét cả Loan Đầu, Hình Thế và Mệnh Chủ,95

FS014,Thương Hiệu Cá Nhân,dung_than=true,Theo ngũ hành cá nhân,Hướng phát triển thương hiệu,Màu nhận diện phù hợp,Logo, website, hình ảnh cá nhân,"Không chạy theo màu phong thủy nhưng trái ngành nghề",Đồng bộ thương hiệu với năng lượng cá nhân,88
