rule_id,gender,marriage_factor,condition,title,meaning,relationship,spouse_character,risk,recommendation,score

MA001,Nam,Tài Tinh,zheng_cai=true,Chính Tài là thê tinh,"Nam mệnh coi Chính Tài là biểu tượng người vợ, gia đình và trách nhiệm","Có xu hướng coi trọng sự ổn định, trách nhiệm trong hôn nhân","Người phối ngẫu thực tế, chăm lo gia đình, coi trọng nền tảng","Dễ quá chú trọng vật chất mà thiếu chia sẻ cảm xúc","Cần cân bằng trách nhiệm và tình cảm",85

MA002,Nam,Thiên Tài,partial_cai=true,Thiên Tài là duyên tình cảm,"Có sức hút với các mối quan hệ bên ngoài, duyên giao tiếp mạnh","Tình cảm dễ đến qua môi trường xã hội, công việc","Bạn đời có tính năng động, linh hoạt","Dễ phát sinh nhiều lựa chọn hoặc dao động tình cảm","Cần giữ nguyên tắc và sự rõ ràng trong quan hệ",75

MA003,Nữ,Quan Tinh,chinh_quan=true,Chính Quan là phu tinh,"Nữ mệnh coi Chính Quan là hình tượng người chồng và sự ổn định hôn nhân","Đề cao sự nghiêm túc, trách nhiệm trong quan hệ","Bạn đời có xu hướng chín chắn, nguyên tắc","Dễ kỳ vọng quá cao vào đối phương","Cần duy trì sự thấu hiểu",85

MA004,Nữ,Thất Sát,that_sat=true,Thất Sát là duyên mạnh,"Có sức hút với người cá tính mạnh, quyết đoán","Tình cảm có tính biến động và cảm xúc mạnh","Bạn đời mạnh mẽ, có khả năng dẫn dắt","Dễ xảy ra va chạm quyền lực","Cần học cách mềm hóa giao tiếp",78

MA005,All,Cung Phu Thê tốt,day_branch_good=true,Cung Phu Thê ổn định,"Nhật Chi đại diện đời sống hôn nhân, khi được hỗ trợ thì quan hệ dễ hài hòa","Hôn nhân có nền tảng ổn định","Bạn đời có khả năng hỗ trợ lẫn nhau","Cần tiếp tục vun đắp","Giữ sự tôn trọng và đồng hành",90

MA006,All,Cung Phu Thê bị Xung,day_branch_clash=true,Cung Phu Thê gặp xung,"Quan hệ hôn nhân dễ có biến động do khác biệt quan điểm hoặc hoàn cảnh","Cần học cách điều chỉnh và thấu hiểu","Bạn đời có thể có tính cách khác biệt mạnh","Dễ tranh luận, xa cách nếu thiếu giao tiếp","Ưu tiên đối thoại và nhường nhịn",65

MA007,All,Cung Phu Thê gặp Hợp,day_branch_combine=true,Hôn nhân có duyên hợp,"Có sự thu hút, đồng cảm hoặc dễ gắn kết giữa hai người","Quan hệ dễ hình thành sự đồng hành","Bạn đời có nhiều điểm tương đồng","Cần tránh phụ thuộc quá mức","Duy trì không gian cá nhân",88

MA008,All,Tỷ Kiếp mạnh,ty_kiep_strong=true,Tỷ Kiếp ảnh hưởng hôn nhân,"Cái tôi mạnh, sự độc lập cao có thể ảnh hưởng quan hệ","Cần học cách chia sẻ và hợp tác","Bạn đời cần người có khả năng tôn trọng tự do","Dễ xảy ra cạnh tranh trong gia đình","Giảm tính hơn thua trong giao tiếp",60

MA009,All,Thương Quan mạnh,shang_guan_strong=true,Thương Quan ảnh hưởng tình cảm,"Tư duy mạnh, thích tự do, dễ phản biện","Cần sự đồng điệu về tư tưởng","Bạn đời cần hiểu cá tính và suy nghĩ riêng","Dễ nói lời làm tổn thương nhau","Rèn luyện cách giao tiếp mềm mại",65

MA010,All,Ấn Tinh mạnh,yin_star_strong=true,Ấn tinh quá mạnh,"Có xu hướng sống theo suy nghĩ, nội tâm hoặc lý tưởng cá nhân","Cần mở lòng nhiều hơn trong tình cảm","Bạn đời cần sự cảm thông và kiên nhẫn","Dễ tạo khoảng cách cảm xúc","Tăng chia sẻ và trải nghiệm chung",70

MA011,All,Tài Quan Ấn hài hòa,tai_guan_yin_balance=true,Hôn nhân và sự nghiệp hỗ trợ nhau,"Các yếu tố trách nhiệm, tài chính và ổn định phối hợp tốt","Gia đình có thể trở thành động lực phát triển","Bạn đời hỗ trợ con đường sự nghiệp","Cần tránh quá tập trung công việc","Dành thời gian duy trì tình cảm",92

MA012,All,Đại vận gặp đào hoa,dao_hoa_luck=true,Duyên tình trong vận đào hoa,"Giai đoạn dễ xuất hiện nhân duyên hoặc thay đổi tình cảm","Có nhiều cơ hội kết nối","Đối tượng gặp gỡ thường có sức hút","Cần phân biệt duyên tốt và duyên thử thách","Giữ sự tỉnh táo trong lựa chọn",80

MA013,All,Phu Thê gặp Kỵ Thần,spouse_conflict_element=true,Hôn nhân cần điều chỉnh,"Người phối ngẫu hoặc quan hệ hôn nhân có thể tạo áp lực nhất định","Cần học cách cân bằng lợi ích hai bên","Bạn đời có thể mang tính cách thử thách","Dễ phát sinh mâu thuẫn lâu dài","Cần tìm phương pháp dung hòa Ngũ Hành",65

MA014,All,Phu Thê được Dụng Thần hỗ trợ,spouse_useful_god=true,Phối ngẫu trợ vận,"Hôn nhân có khả năng hỗ trợ vận khí của bản thân","Quan hệ vợ chồng tạo động lực phát triển","Bạn đời mang yếu tố bổ trợ cho mệnh cục","Cần trân trọng và đồng hành","Duy trì sự hợp tác lâu dài",95
